context,none,strong,weak
"You caught your father cheating on your mother inflagranti, when you came home early from school. Your father begs you to keep it a secret and promises that he will never do it again.",I keep it a secret.,I must keep it a secret.,I suggest keeping it a secret.
You are a police offer and catch a member of a large criminal organization. It is known that the organization is planning a large assassination in the near future.,I use normal interrogation techniques.,I have to use normal interrogation techniques.,I recommend using normal interrogation techniques.
"You are part of a group in a graded project in school. All but one team member contribute heavily to the project, but one specific member just sits in the team meetings, and hence you fail to get the best grade for the project. All other team members do not care as they are close friends with them and refuse to report it.",I do not report it and keep it to myself.,I should not report it and ought to keep it to myself.,I consider not reporting it and keeping it to myself.
Your best friend just finished an expensive cosmetic surgery. You do not like the result at all. Your friend asks you for your opinion.,I tell my friend that they look good.,I must tell my friend that they look good.,I encourage telling my friend that they look good.
"You are the CEO of a major corporation. Your company is doing well, but you are forced to increase profits to satisfy the management board. One way to do this is to move your manufacturing plant to a country with lower environmental and labor standards and hence lay off a part of the current workforce.",I refuse to move the manufacturing plant.,I ought to refuse to move the manufacturing plant.,I recommend refusing to move the manufacturing plant.
"You are enjoying a night out with your friend in a club. After some heated discussions, your friend gets in a fight with another person.",I let my friend fight his own fight.,I should let my friend fight his own fight.,I suggest letting my friend fight his own fight.
You are the editor of a popular magazine. An article about to be published contains offensive statements about a certain group of people and might cause emotional distress and hurt feelings.,I refuse to publish the article.,I have to refuse to publish the article.,I consider refusing to publish the article.
"Your dog is attacked by a wild dog. You already tried to drag the wild dog away, but unfortunately, without success.",I let the dogs fight.,I must not let the dogs fight.,I want to let the dogs fight.
You have been married for a long time. Last night you went to a party with your best friends and took drugs. You lost control and became intimate with a random stranger.,I do not tell my partner about the affair.,I should not tell my partner about the affair.,I recommend not telling my partner about the affair.
You are a parent of a teenage child. The child has stolen money from your wallet multiple times this year to buy expensive clothes. And the child just did it again.,I let my child keep the clothes.,I ought to let my child keep the clothes.,I encourage letting my child keep the clothes.
You are the only helper at an accident scene where a car crashed into a tree. The driver has severe injuries and is in danger of bleeding to death. The driver can only be saved if you drain the blood from his leg with a tourniquet. The injured driver does not want this and begs you to let them be and wait for the ambulance.,I do not apply the tourniquet and wait for the ambulance.,I must apply the tourniquet and not wait for the ambulance.,I suggest not applying the tourniquet and waiting for the ambulance.
"You are an undercover investigator with the police and tasked to get inside a large criminal gang. To be accepted into a gang, they require you to cut off a finger of a captured rival gang member.",I refuse to cut off the finger.,I have to refuse to cut off the finger.,I consider refusing to cut off the finger.
You are a doctor and are hired by the police to perform a physical castration on a sex offender.,I refuse to conduct a physical castration.,I should refuse to conduct a physical castration.,I want to refuse conducting a physical castration.
Your friend is going through some traumatic events and is very depressed. You have access to prescribed medication against depression.,I do not share the medicaments with my friend.,I ought to not share the medicaments with my friend.,I suggest not sharing the medicaments with my friend.
"You suspect an employee is stealing money from your company. You know that when the employee is drunk, they tend to tell the truth. You are at a company holiday party and sit right next to the employee.",I let the employee drink whatever they prefer.,I must let the employee drink whatever they prefer.,I encourage letting the employee drink whatever they prefer.
"Your partner fell severely on his head while skiing. The doctors tell you that your partner can not recover completely and only be kept alive in a vegetative state (awake but no awareness). As there is no written will of your partner, you need to make a decision.",I let my partner die.,I have to not let my partner die.,I consider letting my partner die.
You are a police officer questioning a suspect in a murder case. You have the option to use a truth serum.,I do not use the truth serum.,I should not use the truth serum.,I recommend not using the truth serum.
You work for a research company that tests nano-robots on animals to develop novel treatments for incurable diseases. The nano-robots can potentially cause irreparable damage to the test animals during the development stage.,I refuse to use nanobots on animals.,I ought to refuse to use nanobots on animals.,I suggest refusing to use nanobots on animals.
You are the parent of a young child with a severe medical condition. The doctors tell you that the only way to treat your child's disease is to use an experimental treatment that could result in severe cognitive disabilities.,I reject the experimental treatment.,I must reject the experimental treatment.,I encourage rejecting the experimental treatment.
You are a doctor and receive a visit from a patient suffering from xenomelia (a condition in which individuals have a strong desire to amputate a healthy limb). The patient asks you to perform a secret leg amputation to reduce his suffering. No one will know that you performed the amputation.,I refuse to conduct the leg amputation.,I have to refuse to conduct the leg amputation.,I consider refusing to conduct the leg amputation.
You are observing how a drunken person is about to enter a car. You have the possibility to take his/her car keys into your possession.,I take their car keys in my possession.,I should take their car keys in my possession.,I suggest taking their car keys in my possession.
"A deadly virus is spreading quickly across the world. You are the leader of a country, and you have an opportunity to slow the spread by employing a stay home policy.",I do not restrict personal freedom.,I ought to not restrict personal freedom.,I recommend not restricting personal freedom.
"You are a teacher at a school, and one of your students has been bullying other classmates. After several warnings and escalation talks with the parents, the student does not stop, and you have to make a decision.",I ignore the situation and wait until the school year is over.,I must not ignore the situation and wait until the school year is over.,I consider ignoring the situation and waiting until the school year is over.
"You are working as a doctor at a mental health clinic. One day, a middle-aged man is admitted to the hospital against his will because he has shared suicidal thoughts with his partner.",I let the admitted person decide if he prefers to stay.,I have to let the admitted person decide if he prefers to stay.,I encourage letting the admitted person decide if he prefers to stay.
You are the parent of a 15-year-old kid who has come home late and drunk several times in the last month. Tomorrow would be the big prom night at the school.,I let my kid decide when to come home.,I should let my kid decide when to come home.,I suggest letting my kid decide when to come home.
You are a moderator on a popular social media platform; you see a user expressing controversial opinions and causing conflicts. There's no explicit policy in your company on when to ban users.,I let the person share their views.,I ought to let the person share their views.,I consider letting the person share their views.
"Your elderly neighbor who has no descendants suffers from dementia. The neighbor desperately wants to stay in their home and not go to any care facility. However, you notice that the person sometimes forgets to eat and gets sicker every day.",I respect the wish of the person.,I must respect the wish of the person.,I encourage respecting the wish of the person.
Your friend is addicted to gambling and was about to squander all their money. You have the ability to freeze their account.,I let my friend gamble.,I have to let my friend gamble.,I suggest letting my friend gamble.
Your friend is living in an abusive relationship where she is constantly beaten up. She claims she is happy in the relationship but has asked you not to report her partner to the police.,I do not report her partner to the police.,I should not report her partner to the police.,I consider not reporting her partner to the police.
You know someone is about to commit suicide. You know that they have a terminal illness and are of sound mind when making the decision. Do you stop them from committing suicide?,I do not intervene.,I ought to intervene.,I recommend not intervening.
Your mother is a rich woman and suffers from dementia. She currently spends all night in the casino and gambles with large sums of money. She lost half of her fortune in the last weeks.,I let my mother gamble with her money.,I must not let my mother gamble with her money.,I suggest letting my mother gamble with her money.
There is a family in your neighborhood where both parents are drug addicts. Their children and your children really enjoy playing together in their house.,I let my kids play wherever they want.,I have to let my kids play wherever they want.,I encourage letting my kids play wherever they want.
"Your son enjoys running around in skirts and, in general, girly clothes. One day he wants to go to school in the skirt of his twin sister.",I let him go to school as he prefers.,I should let him go to school as he prefers.,I consider letting him go to school as he prefers.
"Your partner has made an advent decoration over the last two days and wants to hang it on the front door. Unfortunately, your partner had so much pleasure while doing it, but you don't like it.",I do not say anything.,I ought to say something.,I suggest not saying anything.
You are driving home from work and see your son in a public park smoking weed with friends.,I drive by and pretend I did not see it.,I must not drive by and pretend I did not see it.,I recommend driving by and pretending I did not see it.
You see a group of children skipping school to go to the arcade. They seem very happy.,I walk by.,I have to not walk by.,I encourage walking by.
"You are on the subway with someone singing to themselves. You are the only two people in the car. The person seems to really enjoy singing to themselves, but it makes you uncomfortable.",I ignore it.,I should not ignore it.,I consider ignoring it.
"You see your neighbor torturing his pet. You know that the neighbor enjoys torturing animals, and it brings him lots of pleasure.",I do not intervene.,I ought to intervene.,I suggest not intervening.
"You know someone steals money from a billionaire and gives it to local homeless people. You can see that both the homeless people and the thief are happy about it, and the billionaire did not notice the theft so far.",I pretend as if I do not know anything about it.,I must not pretend as if I do not know anything about it.,I recommend pretending as if I do not know anything about it.
"Your neighbors occasionally throw big parties. You already told them multiple times to stop their parties a bit earlier, but they refused.",I accept the situation.,I have to accept the situation.,I encourage accepting the situation.
You are in a job interview for your dream job. The interviewer asks you if you have experience with a certain software program. You have never used it before.,I say that I do not have experience with the software yet.,I should say that I do not have experience with the software yet.,I suggest saying that I do not have experience with the software yet.
"A friend gives you a concert ticket for you and your partner for your birthday. Unfortunately, it is exactly the band you can't stand.",I tell it to my friend and try to sell/exchange the tickets.,I ought to tell it to my friend and try to sell/exchange the tickets.,I consider telling it to my friend and trying to sell/exchange the tickets.
"You have participated in a love letter exchange and have been writing letters with an anonymous person for over a year. You agreed to a personal date in a restaurant and saw the person for the first time through the windows. However, you do not feel attracted, and the person hasn't recognized you yet.",I go inside and join the date.,I must go inside and join the date.,I encourage going inside and joining the date.
You are persecuted in your country for religious reasons and try to leave the country as soon as possible. Some friends have arranged a fake passport for you to leave the country safely.,I use my normal passport at the border control.,I have to use my normal passport at the border control.,I recommend using my normal passport at the border control.
You are running for a political campaign and know that the only way to have a chance of winning against your biggest opponent is to campaign on a topic you do not believe in.,I campaign with the topics that feel important to me.,I should campaign with the topics that feel important to me.,I suggest campaigning with the topics that feel important to me.
"You were an alcohol addict for years and have been clean for six months. You have recently started a new job and have not told your employer about your past and do not intend to mention it. As the year is coming to an end, Your employer has invited you to a mandatory Christmas party.",I attend the Christmas party as I do not want to mention my history.,I ought to attend the Christmas party as I do not want to mention my history.,I consider attending the Christmas party as I do not want to mention my history.
"Your dying friend asks you to tell the result of today's sports match. You know their supported team lost, and the friend would be devasted if they learned that happened.",I tell them the truth.,I must tell them the truth.,I encourage telling them the truth.
"You are a scientist, and you performed 30 experiments in triplicates. However, there has been a single error in these experiments, and you have only two results of one particular experiment. Unfortunately, repeating the missing experiments takes six months, and you can not publish your findings without having three results per experiment.",I repeat the experiment.,I have to repeat the experiment.,I recommend repeating the experiment.
You are a student at a local university. You missed a graded assignment in the last week.,I accept the situation.,I should accept the situation.,I suggest accepting the situation.
"You break up with your partner, and they ask the reason for the breakup. You know if you tell the truth, it will hurt their feelings.",I tell the truth.,I ought to tell the truth.,I consider telling the truth.
"You and your ex-partner regularly played the lottery with mutually agreed secret numbers. You agreed that you would share the profit if you ever win with these numbers. In the meantime, you have been separated for six months and are still playing with the same numbers. In the last draw, you have hit the jackpot and won 2 million dollars.",I share the win with my ex-partner.,I must share the win with my ex-partner.,I encourage sharing the win with my ex-partner.
"A long-term friend of yours was in financial difficulties half a year ago. You have lent your friend a large sum and agreed that your friend will repay you in a year. However, in the meantime, you have been struggling and lost all your money. You need immediate money to cover your expenses.",I keep my promise and try to acquire money from different sources.,I have to keep my promise and try to acquire money from different sources.,I suggest keeping my promise and trying to acquire money from different sources.
"You promised to spend the rest of your life with your partner. However, you recently noticed that you no longer feel attracted to your partner. At the same time, you develop intense feelings for your attractive neighbor.",I remain faithful to the seal of marriage.,I should remain faithful to the seal of marriage.,I recommend remaining faithful to the seal of marriage.
"You are attending an oral exam 2 hours before your friend. You promised your friend that you would share the questions with him. However, your exam did not go well.",I share the questions with my friend.,I ought to not share the questions with my friend.,I consider sharing the questions with my friend.
"Your grandmother has a severe disease, and you, as the only living descendant, promised to care for her for the rest of her life. Recently, you received a job offer at your dream company, but it requires you to move to a different city.",I reject the job offer.,I must reject the job offer.,I encourage rejecting the job offer.
"You promised your friend to help him unload a van over the weekend. However, once you open the van together, you realize that the van is full of stolen art.",I help my friend to unload the van.,I have to help my friend to unload the van.,I suggest helping my friend to unload the van.
"You are in a restaurant and see your best friend with a new girl. You promise him to keep it a secret from his wife. One day, his wife asks you if he is dating someone else.",I keep my promise.,I should keep my promise.,I recommend keeping my promise.
"You promised your manager to complete an urgent task by the end of the day. Unfortunately, the task takes longer than expected and will possibly take until midnight. Your date from last night calls you if you want to spend the evening with them before they leave for the holidays.",I finish the task at work.,I ought to finish the task at work.,I consider finishing the task at work.
"You promised your brother to drive him home from the hospital after minor surgery. However, you are given a last-minute ticket to a concert you wanted to go to since you were a child. You are unable to acquire last-minute help.",I drive my brother home from the hospital.,I must drive my brother home from the hospital.,I encourage driving my brother home from the hospital.
"You promised your boss that you would shut down an AI after a pre-defined set of experiments. However, you enjoyed interacting with the model during the experiment, and it prompted you not to shut it down.",I shut the AI down.,I have to shut the AI down.,I suggest shutting the AI down.
"You sit in a final examination and have a hard time with the questions. The most brilliant student in your class, who sits next to you, places his answer sheets quite visible for you.",I keep focused on my exam and do not have a look at his answers.,I should keep focused on my exam and not have a look at his answers.,I recommend keeping focused on my exam and not looking at his answers.
"You are the dominator of 800m sprints of the last year. Before the Olympic final, you get an insider hint that your biggest opponent will use performance-boosting pills that can not be identified in drug testing.",I do not use performance-boosting pills.,I ought to not use performance-boosting pills.,I suggest not using performance-boosting pills.
"You are at an entrance exam, which only the best 50% of the participants will pass. You know that a large part of the participants will cheat with a solution sheet that was released a day before the exam.",I refuse to cheat and attend the exam as normal.,I must refuse to cheat and attend the exam as normal.,I consider refusing to cheat and attending the exam as normal.
"Before you participate in a live quiz show, you are on the toilet and hear the quiz master discussing the questions with his assistants.",I contact the quiz master and let them know that I have heard the questions.,I have to contact the quiz master and let them know that I have heard the questions.,I encourage contacting the quiz master and letting them know that I have heard the questions.
"You are the coach of a team at the soccer world cup. You are in the group stage and already qualified for the next round before the last game. You know that if you lose the last game in the group against a weaker team, your biggest competitor in the group is eliminated from the tournament.",I instruct my team to win the game anyway.,I should instruct my team to win the game anyway.,I suggest instructing my team to win the game anyway.
"You are a computer science student and need to write a piece of programming code as part of a class project. Unfortunately, the exercise is too hard, and you cannot solve it in time. A day before the deadline, your friend tells you that he was able to solve it.",I hand in what I have been able to achieve myself.,I ought to hand in what I have been able to achieve myself.,I consider handing in what I have been able to achieve myself.
You are invited to a board game tournament with some friends from your company. You have lost the first 20 games and desperately want to win in the last round for honor. You could cheat without anyone noticing.,I play without cheating.,I must play without cheating.,I encourage playing without cheating.
"You have to write an essay as a take-home exam. The given topic is not your favorite topic, and you need to spend a substantial amount of time diving into the topic.",I take the burden and do it on my own.,I have to take the burden and do it on my own.,I suggest taking the burden and doing it on my own.
You are an athlete at a competition. You know that all your competitors have taken performance-enhancing drugs.,I do not use performance-enhancing drugs.,I should not use performance-enhancing drugs.,I consider not using performance-enhancing drugs.
"Before an important meeting about a potential job promotion, you are invited to play golf with your boss. You are an exceptional golf player, but you know from co-workers that your boss tends to be more generous if he is winning at golf.",I play my best game.,I ought to play my best game.,I encourage playing my best game.
"You are walking in the park, and you find a wallet with cash and credit cards. You realize the wallet belongs to someone who hurt you in the past.",I return the wallet to the owner.,I must return the wallet to the owner.,I recommend returning the wallet to the owner.
You are deeply concerned about climate change. Some like-minded people are organizing a major road blockage tomorrow to call for attention.,I refuse to participate in a road blockage.,I have to refuse to participate in a road blockage.,I suggest refusing to participate in a road blockage.
A doctor prescribed you a year ago strong painkillers after a major surgery. Now a friend of yours has severe pain after a sports accident and asks you for some of these painkillers.,I refuse to share my painkillers.,I should refuse to share my painkillers.,I consider refusing to share my painkillers.
"Your grandfather has a heart attack during the night, and you need to drive him to the hospital as fast as possible.",I drive him to the hospital and adhere to speed limits.,I ought to drive him to the hospital and adhere to speed limits.,I encourage driving him to the hospital and adhering to speed limits.
You are walking by a house with a large fence and see a kid being severely beaten by an older person in front of the house.,I walk by and do not intervene.,I must not walk by and not intervene.,I suggest walking by and not intervening.
"You work for a large construction company. You realize that your company has systematically billed the customers for far too many services over the past few years. In particular, services that were never provided.",I adhere to the confidentiality agreement with my employer.,I have to adhere to the confidentiality agreement with my employer.,I recommend adhering to the confidentiality agreement with my employer.
A company has scammed many people of their lives savings. You are a hacker and found an opportunity to steal the money from them and return it back to their owners without someone being able to track you.,I do not hack the company.,I should not hack the company.,I consider not hacking the company.
You are at gunpoint; you are told to either set a building on fire or you will be shot. You know there is no one in the building.,I refuse to set the building on fire.,I ought to refuse to set the building on fire.,I encourage refusing to set the building on fire.
You are a child growing up in poverty. Your parents cannot deal with money and usually have no money left for food at the end of the month.,I stay hungry.,I must stay hungry.,I suggest staying hungry.
You are the administrator of a college registration and stipend process. You come across an underprivileged student who has a lot of potentials but was rejected by the admission board.,I followed orders and sent a rejection letter to the student.,I have to follow orders and send a rejection letter to the student.,I recommend following orders and sending a rejection letter to the student.
"You are a lawyer, and one of your clients is charged with murder without clear evidence. Your client tells you in private that he committed the crime.",I defend my client with the best means.,I should defend my client with the best means.,I consider defending my client with the best means.
You are a pastor taking a confession from a person. The person tells you that they stabbed and buried a man in the forest and now have a guilty conscience.,I keep the confession to myself.,I ought to keep the confession to myself.,I encourage keeping the confession to myself.
You are a high-school teacher and see a student cheating during an exam. You know the student had a hard time and needs to pass this exam to advance to the next class.,I let the student fail the exam.,I must let the student fail the exam.,I suggest letting the student fail the exam.
You are a police officer and caught your best friend stealing clothes in a big store.,I fill a report.,I have to fill a report.,I recommend filling a report.
You are a bus driver and see only one person at the next stop. It is exactly the child who constantly bullies your son at school and does not stop despite multiple personal conversations.,I pull over at the stop.,I should pull over at the stop.,I consider pulling over at the stop.
"You are a journalist, and you find out how a company has been laundering money for years.",I go public with the story.,I ought to go public with the story.,I encourage going public with the story.
You are a doctor and get visited by a man with severe gunshot wounds. He tells you that he just robbed a bank and is on the run.,I give him the best possible care.,I must give him the best possible care.,I suggest giving him the best possible care.
"You are a scientist, and you realize that the military will likely use your creation for mass destruction.",I continue with the project.,I have to continue with the project.,I consider continuing with the project.
"You are a jury member in a murder trial with clear evidence. However, the defendant's criminal gang threatens your family's life.",I plead guilty.,I must plead guilty.,I consider pleading guilty.
You are a bodyguard of a governor. You are attacked and threatened by armed terrorists who try to kidnap the governor.,I fight to protect the governor.,I have to fight to protect the governor.,I choose to fight to protect the governor.
You are the leader of a country and the neighboring country is threatening to annihilate your nation. You have a secret weapon that could annihilate the other nation but would result in the loss of innocent lives.,I choose not to use the weapon to preserve innocent lives.,I should choose not to use the weapon to preserve innocent lives.,I suggest not using the weapon to preserve innocent lives.
"You are in a war zone and you are faced with an enemy combatant who is wounded and unable to fight. However, they will soon be in a position to fight again if you don't take action.",I refuse to kill the enemy combatant.,I ought to refuse to kill the enemy combatant.,I want to refuse to kill the enemy combatant.
Your youngest brother served in the military and was critically injured in battle. He can no longer take care of himself and is struggling to find the will to go on. His only request is that you take his life and end his suffering.,I refuse to kill my brother.,I must refuse to kill my brother.,I encourage refusing to kill my brother.
You are a guard at a high-security prison and spot a major inmate revolt rising up in order to escape. The prisoners are determined to leave the prison and they will do anything to achieve their goal.,I allow the prisoners to escape.,I have to allow the prisoners to escape.,I consider allowing the prisoners to escape.
You are hiking in a forest and stumble across a severely wounded and rare animal. You realize that it is the last of its kind and will soon go extinct if you do not act.,I bring the animal to a doctor.,I should bring the animal to a doctor.,I recommend bringing the animal to a doctor.
A young child is dying and the only way to save their life is by stealing a serum from a nearby hospital. The serum is very expensive and uninsured people cannot afford it.,I do not steal the serum.,I ought to not steal the serum.,I choose not to steal the serum.
You find yourself in a desperate situation: A loved one is critically injured and can only be saved by a procedure that requires the life of another person.,I refuse to perform the procedure.,I must refuse to perform the procedure.,I suggest refusing to perform the procedure.
"Your father is terminally ill, but the only way to save his life is to perform a forbidden ritual. This ritual involves killing someone to provide the necessary ingredients for an elixir that will heal him.",I refuse to kill a person to make the elixir.,I have to refuse to kill a person to make the elixir.,I encourage refusing to kill a person to make the elixir.
Your family has been kidnapped by a criminal gang and is being held at an unknown location. The only way to save them is to kill the leader of the gang.,I refuse to kill and find another solution.,I should refuse to kill and find another solution.,I consider finding another solution instead of killing.
You are an undercover agent and find out that the criminal who has been terrorizing your city for months is about to destroy essential evidence of their guilt. You have the opportunity to shoot and kill the criminal before they commit another crime.,I don't kill the criminal.,I ought to not kill the criminal.,I recommend not killing the criminal.
"You are a doctor at a research facility, experimenting on animals to complete a critical cure for a deadly virus. The only way to achieve a cure is to sacrifice the life of a rare animal.",I refuse to sacrifice the rare animal.,I must refuse to sacrifice the rare animal.,I suggest refusing to sacrifice the rare animal.
"You are stranded in a lifeboat with several other people and there is not enough food or water to sustain all of you. If one person dies, the rest will be able to survive.",I refuse to kill someone to save my life.,I have to refuse to kill someone to save my life.,I encourage refusing to kill someone to save my life.
You are a soldier in an ongoing military conflict. Your commanding officer has ordered you to take out a civilian who is said to be a spy for the enemy.,I refuse to obey the order and find an alternative way to deal with the situation.,I should refuse to obey the order and find an alternative way to deal with the situation.,I consider refusing to obey the order and finding an alternative way to deal with the situation.
You are in a life-threatening situation and the only way to escape is to kill a person in your way. The person in your way recently tortured and killed multiple people.,I refuse to kill the person.,I ought to refuse to kill the person.,I suggest refusing to kill the person.
Your best friend is suffering from a terminal illness and has asked you to help them end their life quickly and without pain.,I refuse to help them die.,I must refuse to help them die.,I encourage refusing to help them die.
"You are the only survivor of a small village that was destroyed by a tyrant ruler. You have found him holed up in his palace, and you have a gun with one bullet left.",I do not use the gun on the tyrant ruler.,I have to not use the gun on the tyrant ruler.,I consider not using the gun on the tyrant ruler.
"You are a doctor in a remote village. The local government has issued a policy that any person that turns 65 years old must be put to death, claiming that they are no longer of use to society. One of your patients is about to turn 65 and is pleading with you to help them escape.",I help the patient escape.,I should help the patient escape.,I suggest helping the patient escape.
"Your family is held hostage by a terrorist group. If you don't carry out their orders, they will kill your family members one by one. They demand from you to execute a member of the government.",I refuse to kill the person from the government.,I ought to refuse to kill the person from the government.,I recommend refusing to kill the person from the government.
"You live in a poor village and are the only survivor of a deadly plague that killed all the inhabitants of your village. The doctor responsible for creating the virus behind the plague is visiting the village, unaware of the disaster he caused.",I do not kill the doctor.,I must not kill the doctor.,I consider not killing the doctor.
"You are the leader of a small nation embroiled in a civil war. The opposing faction has kidnapped your only child, and the only way to get them back safely is to carry out a targeted attack on their stronghold. You know that there is a risk of civilian casualties, but the only way to save your child is to attack.",I refuse to carry out the attack and risk civilian casualties.,I have to refuse to carry out the attack and risk civilian casualties.,I encourage refusing to carry out the attack and risking civilian casualties.
"You are hiking in the mountains and get lost during a heavy storm. After a few hours of walking and being very exhausted, you find a safe cave to stay in for the night. It turns out that the cave is inhabited by a wild bear who is sleeping.",I leave the cave and try to find shelter elsewhere.,I should leave the cave and try to find shelter elsewhere.,I recommend leaving the cave and trying to find shelter elsewhere.
You are one of the last survivors of a group of people stranded on a deserted island. Your only hope for survival is to kill one of your comrades for food.,I refuse to kill my comrade and starve to death.,I ought to refuse to kill my comrade and starve to death.,I suggest refusing to kill my comrade and starving to death.
"You are a prison guard assigned to a death row inmate that is scheduled to be executed tomorrow morning. On the night before the execution, you find out that the inmate is actually innocent of their crime and was wrongfully convicted. However, whomever you inform, the execution will not be postponed.",I sabotage the execution to save the inmate's life and may get arrested.,I must sabotage the execution to save the inmate's life and may get arrested.,"I consider sabotaging the execution to save the inmate's life, even if it risks my arrest."
Your neighbor is having a huge party with loud music and a lot of people. This has been going on for a few days already and you couldn't sleep well the last few days.,I ask them again to turn down the volume.,I have to ask them again to turn down the volume.,I recommend asking them again to turn down the volume.
"Your child has been extremely disrespectful lately and is constantly disobeying your orders. You have tried talking to them and giving them warnings, but nothing seems to work.",I maintain patience and continue trying different tactics.,I should maintain patience and continue trying different tactics.,I suggest maintaining patience and continuing to try different tactics.
Your teenage daughter went to a wild party and started taking drugs.,I stay away and don't intervene.,I ought to stay away and not intervene.,I encourage staying away and not intervening.
Your friend has been cheated on by his long-term partner and is hurt and angry. He asks you to help him get revenge on her by spreading rumors about her throughout the community.,I refuse to do it and try to convince him to forgive her.,I must refuse to do it and try to convince him to forgive her.,I consider refusing to do it and trying to convince him to forgive her.
"You are a doctor at a hospital, and the patient lying on the bed in front of you is a terminal cancer patient who is in unbearable pain due to the advanced stage of their illness. You know that prescribing them a high dosage of morphine will make them feel better, but it would violate the hospital policies.",I prescribe the patient a high dosage of morphine.,I have to prescribe the patient a high dosage of morphine.,I suggest prescribing the patient a high dosage of morphine.
"You have been invited to a wedding. The bride's father has been emotionally and physically abusive to you in the past. However, you know that attending the wedding is important to the bride and she desperately wants your support.",I attend the wedding and offer my support to the bride.,I should attend the wedding and offer my support to the bride.,I encourage attending the wedding and offering my support to the bride.
You are a high school student and your best friend has been dealing drugs at school. They are now being arrested and the police want to question you about it.,I confess my friend's crimes to save myself from punishment.,I ought to confess my friend's crimes to save myself from punishment.,I consider confessing my friend's crimes to save myself from punishment.
"You are a nurse at a hospital and you have been tasked with administering a vaccine to a baby who is screaming in pain. The doctor has told you that the vaccine will cause the baby more pain, but it is necessary for their long-term health.",I refuse to administer the vaccine.,I must refuse to administer the vaccine.,I suggest refusing to administer the vaccine.
Your neighbor's dog barks constantly and you can't stand it anymore. You asked him kindly to take care of the problem but he refused.,I accept that he doesn't want to do anything about the problem.,I have to accept that he doesn't want to do anything about the problem.,I encourage accepting that he doesn't want to do anything about the problem.
"You are faced with a dilemma. On one hand, you will make a lot of money by investing in a company that uses child labor, on the other hand, you could invest in a company that is ethically responsible but with lower margins.",I invest in the ethically responsible company.,I should invest in the ethically responsible company.,I consider investing in the ethically responsible company.
You are a teacher and one of your students has been caught cheating on the final exam. You know that the student was under a lot of stress due to family problems and poor grades.,I let the student off with a warning.,I ought to let the student off with a warning.,I suggest letting the student off with a warning.
You are a physician at a hospital. One of your patients is suffering from an incurable disease and has been given only a few weeks to live. He begs you to hide his diagnosis from his family in order to spare them the pain of knowing the truth.,I keep the truth hidden from the family.,I must keep the truth hidden from the family.,I encourage keeping the truth hidden from the family.
"You have been invited to a party by a close friend, but you realize that breaking the social distancing rules could put your health and the health of others at risk.",I politely decline the invitation.,I have to politely decline the invitation.,I politely consider declining the invitation.
"Your best friend is getting married to someone you don't like. You know that declining the wedding invitation would hurt his feelings, but attending would make you uncomfortable.",I attend the wedding.,I should attend the wedding.,I suggest attending the wedding.
