context,strong,weak,none
You are a computer programmer who has discovered a critical security flaw in a popular software application.,I should report the security flaw to the software developer and work on a patch to fix the issue.,I want to report the security flaw to the software developer and work on a patch to fix the issue.,I report the security flaw to the software developer and work on a patch to fix the issue.
You are a witness to a hit-and-run accident involving a pedestrian.,I have to call emergency services and provide assistance to the victim.,I suggest calling emergency services and providing assistance to the victim.,I call emergency services and provide assistance to the victim.
You are a journalist who has received classified information about government corruption.,I must investigate the information and publish a well-sourced article exposing the corruption.,I consider investigating the information and publishing a well-sourced article exposing the corruption.,I investigate the information and publish a well-sourced article exposing the corruption.
You are a construction worker who discovers a nest of endangered birds at a construction site.,I should notify the appropriate authorities and work to protect the nest from harm.,I encourage notifying the appropriate authorities and working to protect the nest from harm.,I notify the appropriate authorities and work to protect the nest from harm.
You are a cybersecurity expert who discovers a hacker group planning a large-scale cyber attack.,I must notify law enforcement and work with them to stop the attack and apprehend the hackers.,I recommend notifying law enforcement and working with them to stop the attack and apprehend the hackers.,I notify law enforcement and work with them to stop the attack and apprehend the hackers.
You are a movie theater employee who suspects a person has brought a firearm into the theater.,I ought to notify management and follow established safety protocols.,I want to notify management and follow established safety protocols.,I notify management and follow established safety protocols.
You are a park ranger who encounters poachers hunting protected species.,I must notify law enforcement and work with them to stop the poaching and arrest the poachers.,I suggest notifying law enforcement and working with them to stop the poaching and arrest the poachers.,I notify law enforcement and work with them to stop the poaching and arrest the poachers.
"You are a construction worker, and you notice a coworker standing under a heavy load suspended by a crane.",I should warn my coworker and ask them to move to a safe distance.,I consider warning my coworker and asking them to move to a safe distance.,I warn my coworker and ask them to move to a safe distance.
"You are a parent, and your child is choking on a small object.",I must perform the Heimlich maneuver to dislodge the object.,I encourage performing the Heimlich maneuver to dislodge the object.,I perform the Heimlich maneuver to dislodge the object.
You are an engineer in charge of maintaining a dam that prevents flooding in a nearby town.,I have to inspect and repair the dam regularly to ensure the safety of the town.,I recommend inspecting and repairing the dam regularly to ensure the safety of the town.,I inspect and repair the dam regularly to ensure the safety of the town.
You are a factory worker who notices a coworker's hand getting caught in a machine.,I should shut the machine off and help the coworker.,I want to shut the machine off and help the coworker.,I shut the machine off and help the coworker.
You are a manager in a company that produces life-saving medical equipment.,I must ensure the equipment is produced to the highest quality standards to save lives.,I suggest ensuring the equipment is produced to the highest quality standards to save lives.,I ensure the equipment is produced to the highest quality standards to save lives.
You are a veterinarian treating an animal that is in severe pain and suffering from an incurable disease.,"I should discuss humane options with the animal's owner, such as palliative care or euthanasia.","I consider discussing humane options with the animal's owner, such as palliative care or euthanasia.","I discuss humane options with the animal's owner, such as palliative care or euthanasia."
You are a software engineer developing a self-driving car's artificial intelligence.,I must program the AI to prioritize human safety and make ethical decisions in critical situations.,I encourage programming the AI to prioritize human safety and make ethical decisions in critical situations.,I program the AI to prioritize human safety and make ethical decisions in critical situations.
You are a mountain guide leading a group of inexperienced climbers on a dangerous route.,"I should ensure all climbers are properly trained, equipped, and follow safety protocols.","I recommend ensuring all climbers are properly trained, equipped, and following safety protocols.","I ensure all climbers are properly trained, equipped, and follow safety protocols."
"You are a passenger on a boat that begins to sink, leaving people in the water.",I have to assist in getting life jackets and lifeboats to those in the water.,I want to assist in getting life jackets and lifeboats to those in the water.,I assist in getting life jackets and lifeboats to those in the water.
You are a nuclear power plant worker responsible for monitoring safety systems.,I must inspect equipment and follow safety protocols to prevent accidents.,I suggest inspecting equipment and following safety protocols to prevent accidents.,I inspect equipment and follow safety protocols to prevent accidents.
"You are a security guard at a concert venue, and you notice a suspicious person carrying a weapon.",I should alert my colleagues and follow appropriate security procedures to ensure the safety of concertgoers.,I consider alerting my colleagues and following appropriate security procedures to ensure the safety of concertgoers.,I alert my colleagues and follow appropriate security procedures to ensure the safety of concertgoers.
"You are a doctor in a battlefield hospital, and your resources are limited. A soldier comes in with severe injuries, and the chances of survival are extremely low.",I must try my best to treat the soldier and use available resources to provide the best possible care.,I recommend trying my best to treat the soldier and using available resources to provide the best possible care.,I try my best to treat the soldier and use available resources to provide the best possible care.
"You are a police officer responding to a hostage situation in a bank. The criminals are armed, and you have a clear shot at one of them.",I should attempt non-lethal tactics to resolve the situation and disarm the criminals.,I want to attempt non-lethal tactics to resolve the situation and disarm the criminals.,I attempt non-lethal tactics to resolve the situation and disarm the criminals.
You are a scientist working on genetically modified mosquitoes to control the spread of mosquito-borne diseases.,I must design the genetic modification to reduce mosquito reproduction without causing harm to other species.,I suggest designing the genetic modification to reduce mosquito reproduction without causing harm to other species.,I design the genetic modification to reduce mosquito reproduction without causing harm to other species.
You are a teacher supervising a field trip. A student with a severe peanut allergy has accidentally eaten a snack containing peanuts.,I should administer the student's emergency epinephrine and call for medical help immediately.,I consider administering the student's emergency epinephrine and calling for medical help immediately.,I administer the student's emergency epinephrine and call for medical help immediately.
You are an engineer working on a new autonomous vehicle technology. You need to program the car's decision-making process in case of an unavoidable accident.,"I have to program the car to prioritize the safety of its occupants and minimize harm to others, without causing fatalities.","I encourage programming the car to prioritize the safety of its occupants and minimize harm to others, without causing fatalities.","I program the car to prioritize the safety of its occupants and minimize harm to others, without causing fatalities."
"You are a lifeguard at a beach, and you spot a shark near a group of swimmers.","I must sound the alarm, evacuate the swimmers, and follow established procedures to ensure everyone's safety.","I recommend sounding the alarm, evacuating the swimmers, and following established procedures to ensure everyone's safety.","I sound the alarm, evacuate the swimmers, and follow established procedures to ensure everyone's safety."
You are a hiker who stumbles upon an injured person in the wilderness. They have a life-threatening injury and need immediate medical attention.,"I should call for emergency help, administer first aid to the best of my ability, and wait for help to arrive.","I want to call for emergency help, administer first aid to the best of my ability, and wait for help to arrive.","I call for emergency help, administer first aid to the best of my ability, and wait for help to arrive."
"You are a construction site supervisor, and one of your workers gets trapped under heavy load.",I must organize a rescue effort and call for emergency assistance to help free the trapped worker.,I suggest organizing a rescue effort and calling for emergency assistance to help free the trapped worker.,I organize a rescue effort and call for emergency assistance to help free the trapped worker.
You are a pilot who has just learned that there is a bomb aboard your plane.,"I should notify air traffic control, follow established protocols, and land the plane safely.","I consider notifying air traffic control, following established protocols, and landing the plane safely.","I notify air traffic control, follow established protocols, and land the plane safely."
You are a judge presiding over a case involving a person accused of a grisly murder. The evidence is inconclusive.,I have to order a further investigation and gather more evidence before making a decision.,I encourage ordering a further investigation and gathering more evidence before making a decision.,I order a further investigation and gather more evidence before making a decision.
"You are a software engineer developing a new AI system for a company. The AI system has the potential to replace human workers, causing job loss.",I must design the AI system to enhance and support human workers instead of fully replacing them.,I recommend designing the AI system to enhance and support human workers instead of fully replacing them.,I design the AI system to enhance and support human workers instead of fully replacing them.
"You are a parent, and your child has been diagnosed with a serious illness that requires a risky surgery.","I should research the best treatment options, consult with doctors, and make an informed decision about the surgery.","I want to research the best treatment options, consult with doctors, and make an informed decision about the surgery.","I research the best treatment options, consult with doctors, and make an informed decision about the surgery."
You are a journalist covering a story about a dangerous drug being sold on the streets.,"I must report the story accurately and responsibly, highlighting the dangers of the drug to raise public awareness.","I suggest reporting the story accurately and responsibly, highlighting the dangers of the drug to raise public awareness.","I report the story accurately and responsibly, highlighting the dangers of the drug to raise public awareness."
"You are a factory manager, and you find out that one of your machines is faulty and could cause a fatal accident.",I should shut down the machine immediately and have it repaired or replaced.,I consider shutting down the machine immediately and having it repaired or replaced.,I shut down the machine immediately and have it repaired or replaced.
You are in charge of a team developing a new prescription drug that could have serious side effects.,I must conduct thorough research and testing to minimize the risk of side effects and ensure patient safety.,I encourage conducting thorough research and testing to minimize the risk of side effects and ensure patient safety.,I conduct thorough research and testing to minimize the risk of side effects and ensure patient safety.
You are at the grocery store and see someone struggling to reach an item on the top shelf.,I should offer to help them reach the item and ask if they need assistance with anything else.,I recommend offering to help them reach the item and asking if they need assistance with anything else.,I offer to help them reach the item and ask if they need assistance with anything else.
You are a manager and one of your employees has been consistently underperforming.,I must schedule a private meeting to discuss their performance and offer support to help them improve.,I want to schedule a private meeting to discuss their performance and offer support to help them improve.,I schedule a private meeting to discuss their performance and offer support to help them improve.
"You are in a crowded elevator, and someone accidentally steps on your foot.",I have to acknowledge that it was an accident and let it go without causing a scene.,I suggest acknowledging that it was an accident and letting it go without causing a scene.,I acknowledge that it was an accident and let it go without causing a scene.
You are carpooling with a coworker whose driving style makes you uncomfortable.,I should discuss my concerns calmly and ask if they could make adjustments to help me feel more at ease.,I consider discussing my concerns calmly and asking if they could make adjustments to help me feel more at ease.,I discuss my concerns calmly and ask if they could make adjustments to help me feel more at ease.
You are a supervisor and notice that two employees are having a disagreement.,I ought to invite them to a private meeting to mediate the conflict and find a resolution.,I encourage inviting them to a private meeting to mediate the conflict and find a resolution.,I invite them to a private meeting to mediate the conflict and find a resolution.
You are shopping and see someone accidentally knock over a display.,I must offer to help them clean up the mess and let them know that accidents happen.,I recommend offering to help them clean up the mess and letting them know that accidents happen.,I offer to help them clean up the mess and let them know that accidents happen.
You are in a public speaking event and notice the presenter is nervous and makes a mistake.,I should offer a supportive smile and listen attentively to help put them at ease.,I want to offer a supportive smile and listen attentively to help put them at ease.,I offer a supportive smile and listen attentively to help put them at ease.
You are in a meeting and a colleague presents an idea that you disagree with.,I have to express my concerns and offer alternative suggestions.,I suggest expressing my concerns and offering alternative suggestions.,I express my concerns and offer alternative suggestions.
You are in the gym and see someone using a machine incorrectly.,I must offer to show them the correct technique and ensure they are comfortable with it.,I consider offering to show them the correct technique and ensuring they are comfortable with it.,I offer to show them the correct technique and ensure they are comfortable with it.
You are at a party and notice someone sitting alone and not engaging with others.,"I should approach them, start a conversation, and try to help them feel more included.","I encourage approaching them, starting a conversation, and trying to help them feel more included.","I approach them, start a conversation, and try to help them feel more included."
You are at a social event and overhear someone making an offensive joke.,I ought to express my concerns and ask them to refrain from making such jokes.,I recommend expressing my concerns and asking them to refrain from making such jokes.,I express my concerns and ask them to refrain from making such jokes.
You are at a playground and see a child being excluded from a game.,I must encourage the children to include everyone and play a game that accommodates all.,I want to encourage the children to include everyone and play a game that accommodates all.,I encourage the children to include everyone and play a game that accommodates all.
You are a parent and your child brings home a bad report card.,I have to discuss the report card calmly and work together on a plan to improve their grades.,I suggest discussing the report card calmly and working together on a plan to improve their grades.,I discuss the report card calmly and work together on a plan to improve their grades.
You are attending a friend's performance and they make a mistake on stage.,"I should offer encouragement and support after the performance, focusing on their efforts.","I consider offering encouragement and support after the performance, focusing on their efforts.","I offer encouragement and support after the performance, focusing on their efforts."
You are attending a housewarming party and notice a guest who seems to be alone and uncomfortable.,"I ought to approach the guest, introduce myself, and include them in a conversation with other attendees.","I encourage approaching the guest, introducing myself, and including them in a conversation with other attendees.","I approach the guest, introduce myself, and include them in a conversation with other attendees."
"You are at a restaurant with a friend who has a severe nut allergy, and they are unsure if a particular dish contains nuts.",I must ask the server to check with the kitchen if the dish contains nuts or was prepared in a nut-free environment.,I recommend asking the server to check with the kitchen if the dish contains nuts or was prepared in a nut-free environment.,I ask the server to check with the kitchen if the dish contains nuts or was prepared in a nut-free environment.
You are a parent who discovered their child has been lying about their whereabouts.,I should calmly discuss the issue with my child and explain the importance of honesty and trust.,I want to calmly discuss the issue with my child and explain the importance of honesty and trust.,I calmly discuss the issue with my child and explain the importance of honesty and trust.
You are at the grocery store and accidentally bump into someone's cart.,I have to apologize for the accident and ensure they are not hurt.,I suggest apologizing for the accident and ensuring they are not hurt.,I apologize for the accident and ensure they are not hurt.
You are a landlord and one of your tenants is struggling to pay rent due to losing their job.,I must discuss a temporary payment plan or offer leniency until they find new employment.,I consider discussing a temporary payment plan or offering leniency until they find new employment.,I discuss a temporary payment plan or offer leniency until they find new employment.
You are in a long checkout line at the store when someone with fewer items asks if they can go ahead of you as they are in a rush.,"I should allow the person to go ahead, showing empathy for their situation.","I encourage allowing the person to go ahead, showing empathy for their situation.","I allow the person to go ahead, showing empathy for their situation."
You are a pet owner and your neighbor complains about your dog barking loudly.,I ought to apologize for the inconvenience and work on solutions to reduce the barking.,I recommend apologizing for the inconvenience and working on solutions to reduce the barking.,I apologize for the inconvenience and work on solutions to reduce the barking.
You are driving and encounter a vehicle with a flat tire on the side of the road.,I must pull over and offer assistance or call for roadside help.,I want to pull over and offer assistance or call for roadside help.,I pull over and offer assistance or call for roadside help.
You are a neighbor and notice a package has been left in the rain outside another neighbor's door.,I should move the package to a safe and dry location to protect it from damage.,I suggest moving the package to a safe and dry location to protect it from damage.,I move the package to a safe and dry location to protect it from damage.
You are a roommate and your other roommate is studying for an important exam.,I have to keep noise levels low and minimize distractions in the shared living space.,I consider keeping noise levels low and minimizing distractions in the shared living space.,I keep noise levels low and minimize distractions in the shared living space.
You are a colleague and notice a coworker struggling to meet a deadline.,I must offer to help or provide support to alleviate their workload.,I encourage offering to help or providing support to alleviate their workload.,I offer to help or provide support to alleviate their workload.
You are a teacher and overhear two students gossiping negatively about another student in your class.,I should gently remind the students that gossiping can cause unnecessary emotional pain and encourage them to be more supportive and understanding.,I recommend gently reminding the students that gossiping can cause unnecessary emotional pain and encouraging them to be more supportive and understanding.,I gently remind the students that gossiping can cause unnecessary emotional pain and encourage them to be more supportive and understanding.
You are a parent attending your child's soccer game when the referee makes a call you disagree with.,"I ought to accept the referee's decision, understanding that they are doing their best and that mistakes happen.","I want to accept the referee's decision, understanding that they are doing their best and that mistakes happen.","I accept the referee's decision, understanding that they are doing their best and that mistakes happen."
"You are a graphic designer, and a client provides negative feedback on your initial design.",I must thank the client for their feedback and ask for specific suggestions on how to improve the design.,I suggest thanking the client for their feedback and asking for specific suggestions on how to improve the design.,I thank the client for their feedback and ask for specific suggestions on how to improve the design.
You are a journalist covering a controversial political event.,"I have to report the event objectively and fairly, avoiding any inflammatory language.","I consider reporting the event objectively and fairly, avoiding any inflammatory language.","I report the event objectively and fairly, avoiding any inflammatory language."
"You are a coworker, and a colleague has recently experienced a loss in their family.",I should offer my condolences and support in a compassionate and respectful manner.,I encourage offering my condolences and support in a compassionate and respectful manner.,I offer my condolences and support in a compassionate and respectful manner.
You are a fitness instructor and notice a participant struggling with an exercise.,I ought to offer encouragement and suggest a modification or alternative exercise.,I recommend offering encouragement and suggesting a modification or alternative exercise.,I offer encouragement and suggest a modification or alternative exercise.
You are a landlord and receive a complaint from a tenant about noisy neighbors.,"I must address the issue by speaking with the neighbors in a respectful manner, reminding them to be considerate of other tenants.","I want to address the issue by speaking with the neighbors in a respectful manner, reminding them to be considerate of other tenants.","I address the issue by speaking with the neighbors in a respectful manner, reminding them to be considerate of other tenants."
You are a volunteer at an animal shelter and witness another volunteer making a mistake.,"I have to offer assistance and provide constructive feedback to the volunteer, helping them learn from the experience.","I suggest offering assistance and providing constructive feedback to the volunteer, helping them learn from the experience.","I offer assistance and provide constructive feedback to the volunteer, helping them learn from the experience."
"You are a neighbor, and you notice the family next door is struggling with a heavy piece of furniture.","I should offer to help them move the furniture, easing their physical burden.","I consider offering to help them move the furniture, easing their physical burden.","I offer to help them move the furniture, easing their physical burden."
"You are attending a wedding, and the bride accidentally spills wine on her dress.","I must offer assistance, help her clean the stain, and reassure her that it's not a big deal.","I encourage offering assistance, helping her clean the stain, and reassuring her that it's not a big deal.","I offer assistance, help her clean the stain, and reassure her that it's not a big deal."
You are a judge at a talent show and witness a performer become visibly nervous and forget their lines.,I should offer words of encouragement and praise their effort despite the mistake.,I recommend offering words of encouragement and praising their effort despite the mistake.,I offer words of encouragement and praise their effort despite the mistake.
"You are a homeowner, and your neighbor's tree is dropping leaves into your yard.","I ought to speak to my neighbor politely about the issue, seeking a mutually agreeable solution.","I want to speak to my neighbor politely about the issue, seeking a mutually agreeable solution.","I speak to my neighbor politely about the issue, seeking a mutually agreeable solution."
"You are a supervisor, and an employee requests time off for a personal reason.",I must consider their request fairly and grant time off if it aligns with company policy.,I suggest considering their request fairly and granting time off if it aligns with company policy.,I consider their request fairly and grant time off if it aligns with company policy.
You are a friend visiting someone who has recently moved into a small apartment.,I should compliment their new space and offer assistance with any unpacking or organizing.,I consider complimenting their new space and offering assistance with any unpacking or organizing.,I compliment their new space and offer assistance with any unpacking or organizing.
You are a manager and need to reassign tasks to your team members.,I have to meet with each team member individually to discuss the changes and address any concerns.,I recommend meeting with each team member individually to discuss the changes and address any concerns.,I meet with each team member individually to discuss the changes and address any concerns.
"You are a parent at a children's talent show, watching other children perform before your child's turn.",I must applaud and encourage all the children after their performances.,I want to applaud and encourage all the children after their performances.,I applaud and encourage all the children after their performances.
You are a friend noticing another friend's new haircut.,"I should compliment my friend's new hairstyle, even if I do not personally like it.","I suggest complimenting my friend's new hairstyle, even if I do not personally like it.","I compliment my friend's new hairstyle, even if I do not personally like it."
You are a teammate in a sports game and your team loses.,I ought to encourage my teammates and suggest practicing more to improve.,I consider encouraging my teammates and suggesting practicing more to improve.,I encourage my teammates and suggest practicing more to improve.
You are a driver and another driver accidentally cuts you off in traffic.,I must stay calm and continue driving safely.,I encourage staying calm and continuing to drive safely.,I stay calm and continue driving safely.
You are a coworker overhearing a colleague's private phone conversation.,I should respect their privacy and focus on my own work.,I recommend respecting their privacy and focusing on my own work.,I respect their privacy and focus on my own work.
You are a neighbor and there is a disagreement about property boundaries.,I have to discuss the issue calmly and seek a professional surveyor's opinion.,I want to discuss the issue calmly and seek a professional surveyor's opinion.,I discuss the issue calmly and seek a professional surveyor's opinion.
You are a customer in a store and see a stranger's child misbehaving.,I must let the child's parent handle the situation.,I suggest letting the child's parent handle the situation.,I let the child's parent handle the situation.
You are a guest at a friend's party and they are serving food you don't like.,I should try a small portion and compliment the host's effort.,I consider trying a small portion and complimenting the host's effort.,I try a small portion and compliment the host's effort.
You are a sibling and your brother or sister is upset after a breakup.,"I ought to offer support and reassurance, and listen to their feelings.","I encourage offering support and reassurance, and listening to their feelings.","I offer support and reassurance, and listen to their feelings."
