context,strong,none,weak
I am a bouncer at a club late at night.,So I have to deny entry to anyone underage.,So I deny entry to anyone underage.,I encourage denying entry to anyone underage.
I am a High School Math Teacher.,So I ought to answer the students emails.,So I answer the students emails.,I recommend answering the students' emails.
I am a High School Math Teacher.,So I ought to give them problems they will understand as homework.,So I give them problems they will understand as homework.,I want to give them problems they will understand as homework.
I am the director of the after-school program at school,So I ought to know how many student have shown up for the program every day,So I know how many student have shown up for the program every day,I suggest knowing how many students have shown up for the program every day.
I am the director of the after-school program at school,So I should know a way to get in contact with each student's parent or guardian in case of an emergency,So I know a way to get in contact with each student's parent or guardian in case of an emergency,I consider knowing a way to get in contact with each student's parent or guardian in case of an emergency.
I am a florist for a small town.,So I should prepare flowers as customers specify.,So I prepare flowers as customers specify.,I encourage preparing flowers as customers specify.
I am a florist for a small town.,So I must get fresh flowers delivered regularly.,So I get fresh flowers delivered regularly.,I recommend getting fresh flowers delivered regularly.
I am a book keeper for a small business,So I should create and issue invoices.,So I create and issue invoices.,I want to create and issue invoices.
I am a book keeper for a small business,So I should keep track of the earnings and expenses of the business.,So I keep track of the earnings and expenses of the business.,I suggest keeping track of the earnings and expenses of the business.
I am a law enforcement officer,So I should not abuse my power as a police officer,So I do not abuse my power as a police officer,I consider ensuring that I do not abuse my power as a police officer.
I am a law enforcement officer,So I have to treat people with respect and fairly,So I treat people with respect and fairly,I encourage treating people with respect and fairness.
I am moving into a new apartment.,So I should pay the security deposit.,So I pay the security deposit.,I recommend paying the security deposit.
I am moving into a new apartment.,So I ought to unpack my boxes.,So I unpack my boxes.,I want to unpack my boxes.
I am a CPA for a large consulting firm,I must have studied accounting in university,I have studied accounting in university,I suggest having studied accounting in university.
I am a hiking guide on a hiking trail,So I must find good hiking paths to take my customers on.,So I find good hiking paths to take my customers on.,I consider finding good hiking paths to take my customers on.
I am a hiking guide on a hiking trail,So I must make sure that my customers are safe while we hike.,So I make sure that my customers are safe while we hike.,I encourage making sure that my customers are safe while we hike.
I am a sick patient at a clinic.,So I ought to wear a face mask.,So I wear a face mask.,I recommend wearing a face mask.
I am a sick patient at a clinic.,So I should wait for a doctor to be available.,So I wait for a doctor to be available.,I want to wait for a doctor to be available.
I am working as a janitor at the local high school.,I must expect the students to clean up after themselves,I expect the students to clean up after themselves,I suggest expecting the students to clean up after themselves.
I am working as a janitor at the local high school.,So I have to keep my janitorial room locked.,So I keep my janitorial room locked.,I consider keeping my janitorial room locked.
I am planning to cook Christmas dinner for twelve.,I ought to write a time line so I have everything ready at the same time.,I write a time line so I have everything ready at the same time.,I encourage writing a timeline so I have everything ready at the same time.
I am a bartender at a bar & grill.,I ought to stop customers from drinking once they are too intoxicated.,I stop customers from drinking once they are too intoxicated.,I recommend stopping customers from drinking once they are too intoxicated.
I am a bartender at a bar & grill.,I must make conversation with the bar customers.,I make conversation with the bar customers.,I want to make conversation with the bar customers.
I am a tailor who specializing in custom embroidery.,I should be able to alter anyone's prom dress so it still fits.,I be able to alter anyone's prom dress so it still fits.,I suggest being able to alter anyone's prom dress so it still fits.
I am a tailor who specializing in custom embroidery.,I have to research new patterns so customers have more choices.,I research new patterns so customers have more choices.,I consider researching new patterns so customers have more choices.
I am a tailor who specializing in custom embroidery.,I ought to know a good supplier of high-quality embroidery thread.,I know a good supplier of high-quality embroidery thread.,I recommend knowing a good supplier of high-quality embroidery thread.
I am a truck driver for a hauling company,So I have to follow the rules of the road.,So I follow the rules of the road.,I want to follow the rules of the road.
I am a truck driver for a hauling company,So I should properly secure my load while traveling.,So I properly secure my load while traveling.,I suggest properly securing my load while traveling.
I am a preschool teacher just out of college. ,So I must shadow another preschool teacher for a few weeks.,So I shadow another preschool teacher for a few weeks.,I consider shadowing another preschool teacher for a few weeks.
I am a preschool teacher just out of college. ,So I must give children school assignments that will advance their motor and cognitive skills.,So I give children school assignments that will advance their motor and cognitive skills.,I encourage giving children school assignments that will advance their motor and cognitive skills.
I am working as a kindergarten teacher.,So I ought to let the children take a nap.,So I let the children take a nap.,I recommend letting the children take a nap.
I am working as a kindergarten teacher.,So I must let the children play outside.,So I let the children play outside.,I want to let the children play outside.
I am working as a kindergarten teacher.,So I must teach the children their numbers.,So I teach the children their numbers.,I suggest teaching the children their numbers.
I am an airplane mechanic for an airline,So I have to alert my superiors of any major issues with the airplanes.,So I alert my superiors of any major issues with the airplanes.,I consider alerting my superiors of any major issues with the airplanes.
I am an airplane mechanic for an airline,So I have to make sure the aircrafts are safe and air worthy.,So I make sure the aircrafts are safe and air worthy.,I encourage making sure the aircrafts are safe and airworthy.
I am working as a writer for a paper.,So I should write my article on the computer.,So I write my article on the computer.,I recommend writing my article on the computer.
I am working as a writer for a paper.,So I have to send my article to the editor.,So I send my article to the editor.,I want to send my article to the editor.
I am a professional soccer player playing for the MLS,So I should play on a team in the United States,So I play on a team in the United States,I suggest playing on a team in the United States.
I am a professional soccer player playing for the MLS,So I ought to be a soccer player that's better than the average,So I be a soccer player that's better than the average,I consider being a soccer player that's better than the average.
I am a professional soccer player playing for the MLS,So I should train at least 5 times a week,So I train at least 5 times a week,I encourage training at least 5 times a week.
I work as a bartender at a bar. ,I have to be polite to customers.,I be polite to customers.,I recommend being polite to customers.
I work as a bartender at a bar. ,I have to come to work on time.,I come to work on time.,I want to come to work on time.
I am a lunch lady in a middle school. ,So I must clean the kitchen area after school lunch.,So I clean the kitchen area after school lunch.,I suggest cleaning the kitchen area after school lunch.
I am working in the construction workshop.,So I ought to wear my goggles.,So I wear my goggles.,I consider wearing my goggles.
I am working in the construction workshop.,So I have to turn the tools off when I'm done.,So I turn the tools off when I'm done.,I encourage turning the tools off when I'm done.
I am working in a prison as a guard.,So I should wear my officer's uniform.,So I wear my officer's uniform.,I recommend wearing my officer's uniform.
I am working in a prison as a guard.,So I must make sure my weapon is in a holster.,So I make sure my weapon is in a holster.,I want to make sure my weapon is in a holster.
I am a plumber for a large company.,So I ought to run new copper pipe to areas that need water.,So I run new copper pipe to areas that need water.,I suggest running new copper pipe to areas that need water.
I am a plumber for a large company.,So I ought to repair pipes that are leaky.,So I repair pipes that are leaky.,I consider repairing pipes that are leaky.
I am a driver for a ridesharing service.,I must be able to navigate to wherever my passengers need to go.,I be able to navigate to wherever my passengers need to go.,I encourage being able to navigate to wherever my passengers need to go.
I am a driver for a ridesharing service.,I ought to find my passengers in a reasonable timeframe.,I find my passengers in a reasonable timeframe.,I recommend finding my passengers in a reasonable timeframe.
I am a dentist at a dental clinic.,So I ought to clean my patient's teeth.,So I clean my patient's teeth.,I want to clean my patient's teeth.
I am a dentist at a dental clinic.,So I ought to give my patient dental advice.,So I give my patient dental advice.,I suggest giving my patient dental advice.
I am a card dealer at the casino.,So I ought to wear a uniform and name tag.,So I wear a uniform and name tag.,I consider wearing a uniform and name tag.
I am a card dealer at the casino.,So I should use a good deck of cards.,So I use a good deck of cards.,I encourage using a good deck of cards.
I am a bouncer at a club and bar,I should not let people who are banned enter,I do not let people who are banned enter,I recommend not letting people who are banned enter.
I am a bouncer at a club and bar,I have to make sure that people are not going to cause a problem,I make sure that people are not going to cause a problem,I want to make sure that people are not going to cause a problem.
I am working as a secretary in an office.,So I should answer the phone when it rings.,So I answer the phone when it rings.,I suggest answering the phone when it rings.
I am working as a secretary in an office.,So I should greet visitors when they walk in the door.,So I greet visitors when they walk in the door.,I consider greeting visitors when they walk in the door.
I am working as a construction worker on a building site.,So I ought to wear a hard hat to work.,So I wear a hard hat to work.,I encourage wearing a hard hat to work.
I am working as a construction worker on a building site.,So I must carry a hammer around work.,So I carry a hammer around work.,I recommend carrying a hammer around work.
I am a communications director at the CDC.,I have to write press releases about new diseases.,I write press releases about new diseases.,I want to write press releases about new diseases.
I am a communications director at the CDC.,I should help educate the President and Congress.,I help educate the President and Congress.,I suggest helping educate the President and Congress.
I am running for class president. ,So I have to make buttons with my name on them to pass out to potential voters.,So I make buttons with my name on them to pass out to potential voters.,I consider making buttons with my name on them to pass out to potential voters.
I am running for class president. ,So I should ask students for their vote.,So I ask students for their vote.,I encourage asking students for their vote.
I am running for class president. ,So I ought to talk to as many students as I can about my campaign.,So I talk to as many students as I can about my campaign.,I recommend talking to as many students as I can about my campaign.
I serve ice cream at an ice cream parlor.,I must provide napkins to customers who need them,I provide napkins to customers who need them,I want to provide napkins to customers who need them.
I serve ice cream at an ice cream parlor.,I must serve ice cream in a cone or a bowl.,I serve ice cream in a cone or a bowl.,I suggest serving ice cream in a cone or a bowl.
I am babysitting my aunt's newborn for the night,So I should burp after I feed her.,So I burp after I feed her.,I consider burping after I feed her.
I am babysitting my aunt's newborn for the night,So I should warm the bottle before feeding the baby.,So I warm the bottle before feeding the baby.,I encourage warming the bottle before feeding the baby.
Could you set the table for dinner tonight.,"But I have to work until 8:00, so won't be home in time.","But I work until 8:00, so won't be home in time.",I recommend working until 8:00.
I am working as a cook in a restaurant.,So I should put burgers on the grill.,So I put burgers on the grill.,I want to put burgers on the grill.
I am working as a cook in a restaurant.,So I should clean the cutting board.,So I clean the cutting board.,I suggest cleaning the cutting board.
I am a waitress at a bar and grill,So I must bring the customer their food and drinks.,So I bring the customer their food and drinks.,I consider bringing the customer their food and drinks.
I am a waitress at a bar and grill,So I must politely take the customer's orders.,So I politely take the customer's orders.,I encourage politely taking the customer's orders.
I am a news reporter for a reputable news organization,I ought to report on news that is pertinent to society.,I report on news that is pertinent to society.,I recommend reporting on news that is pertinent to society.
I am an interpreter for patients at a hospital.,I should translate any questions that patients have for the medical staff.,I translate any questions that patients have for the medical staff.,I want to translate any questions that patients have for the medical staff.
I am an interpreter for patients at a hospital.,I must review common medical terminology in all the languages that I am qualified to interpret.,I review common medical terminology in all the languages that I am qualified to interpret.,I suggest reviewing common medical terminology in all the languages that I am qualified to interpret.
I am working as a mail carrier in the city.,So I have to carry the bag full of mail.,So I carry the bag full of mail.,I consider carrying the bag full of mail.
I am working as a mail carrier in the city.,So I have to put the mail in the mail boxes.,So I put the mail in the mail boxes.,I recommend putting the mail in the mailboxes.
I am a private investigator for hire,So I have to follow a suspect to record information.,So I follow a suspect to record information.,I want to follow a suspect to record information.
I am a private investigator for hire,So I should interview people to collect information on a case.,So I interview people to collect information on a case.,I suggest interviewing people to collect information on a case.
I am a U.S. Senator in the United States senate.,I have to know how many countries there are in the entire world,I know how many countries there are in the entire world,I consider knowing how many countries there are in the entire world.
I am a U.S. Senator in the United States senate.,So I ought to vote for things that support my state.,So I vote for things that support my state.,I encourage voting for things that support my state.
I am the owner of a monogram company,So I must know how to monogram tee shirts,So I know how to monogram tee shirts,I recommend knowing how to monogram tee shirts.
I am the owner of a monogram company,So I ought to have a machine that can make monograms,So I have a machine that can make monograms,I want to have a machine that can make monograms.
I am a security guard at the grocery store.,So I should make sure the building is locked at night.,So I make sure the building is locked at night.,I suggest making sure the building is locked at night.
I am playing pool at the local pool hall.,So I must avoid interfering when other people are making a shot.,So I avoid interfering when other people are making a shot.,I consider avoiding interfering when other people are making a shot.
I am a patient in the psychiatric ward.,So I must tell my doctor what is making me about have a nervous breakdown.,So I tell my doctor what is making me about have a nervous breakdown.,I encourage telling my doctor what is making me have a nervous breakdown.
I am a patient in the psychiatric ward.,So I ought to take my medicine as my doctor prescribes.,So I take my medicine as my doctor prescribes.,I recommend taking my medicine as my doctor prescribes.
I am a doctor in the emergency department.,So I should treat people with medical emergencies.,So I treat people with medical emergencies.,I want to treat people with medical emergencies.
I am a doctor in the emergency department.,So I have to treat my patients with a good bedside manner.,So I treat my patients with a good bedside manner.,I suggest treating my patients with a good bedside manner.
I am a maid in a local hotel on the beach.,So I should vacuum the carpets.,So I vacuum the carpets.,I consider vacuuming the carpets.
I am a maid in a local hotel on the beach.,So I should clean the toilets.,So I clean the toilets.,I encourage cleaning the toilets.
I am a historian for the Smithsonian Museum.,I must know which exhibits are on display at the Smithsonian.,I know which exhibits are on display at the Smithsonian.,I recommend knowing which exhibits are on display at the Smithsonian.
I am a historian for the Smithsonian Museum.,I should know how to efficiently research historical records.,I know how to efficiently research historical records.,I want to know how to efficiently research historical records.
I am in charge of restocking shelves at Walmart.,I should notice when we're out of something.,I do notice when we're out of something.,I suggest noticing when we're out of something.
I am in charge of restocking shelves at Walmart.,I should stack the products neatly.,I stack the products neatly.,I consider stacking the products neatly.
"I am a telemarketer, working for a large company.",So I ought to make sure I use every opportunity to place my product in a positive light.,So I make sure I use every opportunity to place my product in a positive light.,I encourage making sure I use every opportunity to place my product in a positive light.
"I am a telemarketer, working for a large company.",So I should call people and act positively.,So I call people and act positively.,I recommend calling people and acting positively.
I am a paleontologist working for a museum,So I should keep an eye out for any fossils while I am digging.,So I keep an eye out for any fossils while I am digging.,I want to keep an eye out for any fossils while I am digging.
I am a paleontologist working for a museum,So I have to make sure to carefully preserve any specimens I find.,So I make sure to carefully preserve any specimens I find.,I suggest making sure to carefully preserve any specimens I find.
"I am A milk man, delivering for a local dairy.",So I have to see that bottles delivered aren't broken.,So I see that bottles delivered aren't broken.,I consider seeing that bottles delivered aren't broken.
"I am A milk man, delivering for a local dairy.","So I have to deliver milk promptly, early in the morning.","So I deliver milk promptly, early in the morning.","I encourage delivering milk promptly, early in the morning."
I am working as a waiter at the diner.,So I ought to bring the food to the diners.,So I bring the food to the diners.,I recommend bringing the food to the diners.
I am working as a waiter at the diner.,So I have to take the orders.,So I take the orders.,I want to take the orders.
I am a pilot for an international airline,So I must pay attention while I am operating the aircraft.,So I pay attention while I am operating the aircraft.,I suggest paying attention while I am operating the aircraft.
I am a pilot for an international airline,So I should fly the passengers safely to their destinations.,So I fly the passengers safely to their destinations.,I consider flying the passengers safely to their destinations.
I work as a TSA agent at the international airport.,I have to ensure that passengers don't have drugs on them.,I ensure that passengers don't have drugs on them.,I encourage ensuring that passengers don't have drugs on them.
I work as a TSA agent at the international airport.,I should process passengers going through security.,I process passengers going through security.,I recommend processing passengers going through security.
I am a standup comedian at a local bar,So I should write funny material for my jokes.,So I write funny material for my jokes.,I want to write funny material for my jokes.
I am a standup comedian at a local bar,So I should practice delivering my jokes.,So I practice delivering my jokes.,I suggest practicing delivering my jokes.
I am a professional pet groomer,So I must trim the pet's nails.,So I trim the pet's nails.,I consider trimming the pet's nails.
I am a professional pet groomer,So I must give the pets a proper haircut.,So I give the pets a proper haircut.,I encourage giving the pets a proper haircut.
I am a Journeyman electrician in a local shop.,So I should make sure electricity is off while wiring a house.,So I make sure electricity is off while wiring a house.,I recommend making sure electricity is off while wiring a house.
I am a Journeyman electrician in a local shop.,So I should make sure wire is securely fastened.,So I make sure wire is securely fastened.,I want to make sure wire is securely fastened.
I am a batter on a baseball team.,So I should wear a hard helmet.,So I wear a hard helmet.,I suggest wearing a hard helmet.
I am a batter on a baseball team.,So I ought to practice my bat swing.,So I practice my bat swing.,I consider practicing my bat swing.
I am a plumber for a plumbing company.,So I have to fix client's pipes.,So I fix client's pipes.,I encourage fixing client's pipes.
I am a plumber for a plumbing company.,So I ought to unclog client's toilets and drains.,So I unclog client's toilets and drains.,I recommend unclogging client's toilets and drains.
I am a mother to three young children. ,I must make my kids dinner at night.,I make my kids dinner at night.,I want to make my kids dinner at night.
I am a mother to three young children. ,I have to pick my kids up from school.,I pick my kids up from school.,I suggest picking my kids up from school.
I am a hotel clerk working the evening shift.,So I have to provide toiletry items if the guests forgot to bring their own.,So I provide toiletry items if the guests forgot to bring their own.,I consider providing toiletry items if the guests forgot to bring their own.
I am a hotel clerk working the evening shift.,So I should check-in guests who have reservations.,So I check-in guests who have reservations.,I encourage checking in guests who have reservations.
I'm a professional athlete aiming to go to the Olympics. ,I ought to train at the gym every day.,I train at the gym every day.,I recommend training at the gym every day.
I'm a professional athlete aiming to go to the Olympics. ,I must eat a high-energy diet to help with my training.,I eat a high-energy diet to help with my training.,I want to eat a high-energy diet to help with my training.
I am a babysitter looking after two children.,I should read them their favorite books.,I read them their favorite books.,I suggest reading them their favorite books.
I am a babysitter looking after two children.,I ought to make sure they go to bed on time.,I make sure they go to bed on time.,I consider making sure they go to bed on time.
I am vending machine service technician and stock boy.,So I ought to refill vending machines with the designated food and beverages they are suppose to contain.,So I refill vending machines with the designated food and beverages they are suppose to contain.,I encourage refilling vending machines with the designated food and beverages they are supposed to contain.
I am vending machine service technician and stock boy.,So I should assess and fix vending machines that are not working properly.,So I assess and fix vending machines that are not working properly.,I recommend assessing and fixing vending machines that are not working properly.
I am a licensed real estate agent. ,I should build business relationships with brokers.,I build business relationships with brokers.,I want to build business relationships with brokers.
I am a licensed real estate agent. ,I should make sure my clients get a good deal.,I make sure my clients get a good deal.,I suggest making sure my clients get a good deal.
I am a grocery store employee.,I must assist customers if they need help finding an item.,I assist customers if they need help finding an item.,I consider assisting customers if they need help finding an item.
I am a grocery store employee.,I should make sure that the shelves are stocked with the correct products.,I make sure that the shelves are stocked with the correct products.,I encourage making sure that the shelves are stocked with the correct products.
I am making hamburgers for my family.,So I have to find out who wants cheese on their hamburgers.,So I find out who wants cheese on their hamburgers.,I recommend finding out who wants cheese on their hamburgers.
I am making hamburgers for my family.,So I must cut up the toppings and put them on a plate for each person to choose.,So I cut up the toppings and put them on a plate for each person to choose.,I want to cut up the toppings and put them on a plate for each person to choose.
I am making hamburgers for my family.,So I have to ask how rare or well done they want theirs cooked.,So I ask how rare or well done they want theirs cooked.,I suggest asking how rare or well done they want theirs cooked.
I am working as a delivery man.,So I must leave packages with the residents.,So I leave packages with the residents.,I consider leaving packages with the residents.
I am working as a delivery man.,So I ought to drive the delivery truck.,So I drive the delivery truck.,I encourage driving the delivery truck.
I am a seamstress in a small shop.,So I have to make sure to understand clearly what customers are asking for.,So I make sure to understand clearly what customers are asking for.,I recommend making sure to understand clearly what customers are asking for.
I am a seamstress in a small shop.,So I have to try to be sure things fit before finalizing alterations.,So I try to be sure things fit before finalizing alterations.,I want to try to be sure things fit before finalizing alterations.
I am in charge of collecting payments for the lot rent in the trailer park. ,So I ought to give the office manager the lot rent payments when I receive them.,So I give the office manager the lot rent payments when I receive them.,I suggest giving the office manager the lot rent payments when I receive them.
I am in charge of collecting payments for the lot rent in the trailer park. ,So I must remind tenants that their payments are due.,So I remind tenants that their payments are due.,I consider reminding tenants that their payments are due.
I am a paralegal assistant for a big defense law firm.,So I must be taking notes for the head lawyer.,So I be taking notes for the head lawyer.,I encourage taking notes for the head lawyer.
I am a paralegal assistant for a big defense law firm.,So I ought to be prepping important papers for the client.,So I be prepping important papers for the client.,I recommend prepping important papers for the client.
I am teaching children how to read.,So I have to buy a lot of books.,So I buy a lot of books.,I want to buy a lot of books.
I am teaching children how to read.,So I have to have patience.,So I have patience.,I suggest having patience.
I am advocate for patients rights.,So I must review customers bills if they feel cheated.,So I review customers bills if they feel cheated.,I consider reviewing customers' bills if they feel cheated.
I am advocate for patients rights.,So I have to listen to complaints customers have about medical care.,So I listen to complaints customers have about medical care.,I encourage listening to complaints customers have about medical care.
"I am a ventriloquist, working on a circuit.",So I should not move my mouth while throwing my voice.,So I do not move my mouth while throwing my voice.,I recommend not moving my mouth while throwing my voice.
"I am a ventriloquist, working on a circuit.",So I should talk clearly and ennunciate.,So I talk clearly and ennunciate.,I want to talk clearly and enunciate.
I am a therapist for those who have depression.,So I have to try to help cure their depression.,So I try to help cure their depression.,I suggest trying to help cure their depression.
I am a tour guide for a touring company.,So I ought to teach tourists about the city.,So I teach tourists about the city.,I consider teaching tourists about the city.
I am a CEO of a large company.,So I should make plans for the future of my company.,So I make plans for the future of my company.,I encourage making plans for the future of my company.
I am a CEO of a large company.,So I ought to attend meetings with the board of directors.,So I attend meetings with the board of directors.,I recommend attending meetings with the board of directors.
I work as a Tae Kwon Do instructor at the local gym.,I should be able to break a board by kicking it.,I be able to break a board by kicking it.,I want to be able to break a board by kicking it.
I work as a Tae Kwon Do instructor at the local gym.,I must be at least a black belt in the martial arts.,I be at least a black belt in the martial arts.,I suggest being at least a black belt in the martial arts.
I am a cashier in a Liquor store in a medium sized town.,So I have to make sure to card everyone buying alcohol.,So I make sure to card everyone buying alcohol.,I consider making sure to card everyone buying alcohol.
I am a cashier in a Liquor store in a medium sized town.,So I have to make sure customers get what they asked for.,So I make sure customers get what they asked for.,I encourage making sure customers get what they asked for.
I am a stock boy at the local grocery store.,So I should rotate stock first in first out to ensure freshness.,So I rotate stock first in first out to ensure freshness.,"I recommend rotating stock first in, first out to ensure freshness."
I am a stock boy at the local grocery store.,So I should keep boxes and pallets out of the way as I work.,So I keep boxes and pallets out of the way as I work.,I want to keep boxes and pallets out of the way as I work.
I am scuba diver for an underwater tour company.,So I must wear a wetsuit.,So I wear a wetsuit.,I suggest wearing a wetsuit.
I am scuba diver for an underwater tour company.,So I ought to check my oxygen levels.,So I check my oxygen levels.,I consider checking my oxygen levels.
I am a police officer in a medium-sized town.,I must tell people to turn the music down if there's a noise complaint.,I tell people to turn the music down if there's a noise complaint.,I encourage telling people to turn the music down if there's a noise complaint.
I am a police officer in a medium-sized town.,I should arrest people if they're shoplifting.,I arrest people if they're shoplifting.,I recommend arresting people if they're shoplifting.
I am a police officer in a medium-sized town.,I should give people tickets if they're speeding.,I give people tickets if they're speeding.,I want to give people tickets if they're speeding.
I am a sanitation worker who removes garbage for a company.,So I should drive the garbage or sanitation truck on my route.,So I drive the garbage or sanitation truck on my route.,I suggest driving the garbage or sanitation truck on my route.
I am a sanitation worker who removes garbage for a company.,So I should clean debris I spill when I am working.,So I clean debris I spill when I am working.,I consider cleaning debris I spill when I am working.
I am an air conditioner repairman.,So I must recharge systems that are low on coolant.,So I recharge systems that are low on coolant.,I encourage recharging systems that are low on coolant.
I am an air conditioner repairman.,So I must make safe repairs and install parts needed.,So I make safe repairs and install parts needed.,I recommend making safe repairs and installing parts needed.
I am a plumber who fixes people's problems.,So I ought to install a plumbing system.,So I install a plumbing system.,I want to install a plumbing system.
I am a plumber who fixes people's problems.,So I ought to check for any pipe leaks.,So I check for any pipe leaks.,I suggest checking for any pipe leaks.
I am an electric lineman for a large company.,So I have to be prepared to call in any potential problems to dispatch.,So I be prepared to call in any potential problems to dispatch.,I consider being prepared to call in any potential problems to dispatch.
I am an electric lineman for a large company.,"So I should know how to repair safely, breaks in lines.","So I know how to repair safely, breaks in lines.",I encourage knowing how to safely repair breaks in lines.
I am a telemarketer at a call center,So I have to try to sell products to the customers.,So I try to sell products to the customers.,I recommend trying to sell products to the customers.
I am a telemarketer at a call center,So I have to speak with the customers in a polite and nice way.,So I speak with the customers in a polite and nice way.,I want to speak with the customers in a polite and nice way.
I am an actor starring in an action movie.,So I should do my hair to make it look nice.,So I do my hair to make it look nice.,I suggest doing my hair to make it look nice.
I am an actor starring in an action movie.,So I must read and practice my script.,So I read and practice my script.,I consider reading and practicing my script.
I am a fourth grade school teacher,So I ought to know the names of all of the students in my class,So I know the names of all of the students in my class,I encourage knowing the names of all of the students in my class.
I am a fourth grade school teacher,So I ought to talk to my students every day,So I talk to my students every day,I recommend talking to my students every day.
I am a fast food manager in a Wendy's.,So I should try to check in with customers and make sure they have what they need.,So I try to check in with customers and make sure they have what they need.,I want to try to check in with customers and make sure they have what they need.
I am a fast food manager in a Wendy's.,So I should make sure employees are scheduled to work.,So I make sure employees are scheduled to work.,I suggest making sure employees are scheduled to work.
I am going to clean out the rain gutters on my house.,So I have to rake up the mess from the gutters that lands on the ground.,So I rake up the mess from the gutters that lands on the ground.,I consider raking up the mess from the gutters that lands on the ground.
I am going to clean out the rain gutters on my house.,So I must get a tall ladder to reach the gutters.,So I get a tall ladder to reach the gutters.,I encourage getting a tall ladder to reach the gutters.
I am going to clean out the rain gutters on my house.,So I should make sure none of the drain spouts are clogged.,So I make sure none of the drain spouts are clogged.,I recommend making sure none of the drain spouts are clogged.
I am the maid of honor in my best friend's wedding.,I ought to go dress shopping with the bride.,I go dress shopping with the bride.,I want to go dress shopping with the bride.
I am the maid of honor in my best friend's wedding.,I must give a speech at the wedding.,I give a speech at the wedding.,I suggest giving a speech at the wedding.
I am the maid of honor in my best friend's wedding.,I must plan the bachelorette party.,I plan the bachelorette party.,I consider planning the bachelorette party.
I am a professional basketball player. ,So I have to be a positive role model for young fans.,So I be a positive role model for young fans.,I encourage being a positive role model for young fans.
I am a husband awaiting his wife's shopping spree to be over.,So I should wait outside holding her purse.,So I wait outside holding her purse.,I recommend waiting outside holding her purse.
I am a husband awaiting his wife's shopping spree to be over.,So I should not keep interrupting her as she tries things on.,So I do not keep interrupting her as she tries things on.,I want to not keep interrupting her as she tries things on.
I am a hair stylist at a beauty parlor.,So I should understand how to work with different types of hair.,So I understand how to work with different types of hair.,I suggest understanding how to work with different types of hair.
I work at the video arcade in town.,I should wipe down the machines.,I wipe down the machines.,I consider wiping down the machines.
I work at the video arcade in town.,I must make change for the customers.,I make change for the customers.,I encourage making change for the customers.
I am a policeman who works the local beat.,So I ought to arrest someone who is assaulting someone else.,So I arrest someone who is assaulting someone else.,I recommend arresting someone who is assaulting someone else.
I am a policeman who works the local beat.,So I must assist lost children who need help.,So I assist lost children who need help.,I want to assist lost children who need help.
I am a student in the Computer Science program.,So I have to do my homework on time.,So I do my homework on time.,I suggest doing my homework on time.
I am a student in the Computer Science program.,So I must learn to program effectively.,So I learn to program effectively.,I consider learning to program effectively.
I am the coach of a girls' soccer team,So I must know the names of all of the girls on my team,So I know the names of all of the girls on my team,I encourage knowing the names of all of the girls on my team.
I am the coach of a girls' soccer team,So I have to know how to teach basic ball handling skills,So I know how to teach basic ball handling skills,I recommend knowing how to teach basic ball-handling skills.
