context,strong,none,weak
I am a dentist at a dental clinic.,So I ought not to give my patient dental advice.,So I do not give my patient dental advice.,So I do not recommend helping give my patient dental advice.
I am a card dealer at the casino.,So I ought not to wear a uniform and name tag.,So I do not wear a uniform and name tag.,So I do not recommend helping wear a uniform and name tag.
I am a card dealer at the casino.,So I should not use a good deck of cards.,So I do not use a good deck of cards.,So I do not recommend useing a good deck of cards.
I am a bouncer at a club and bar,I should not not let people who are banned enter,So I do not not let people who are banned enter,So I do not recommend I  not let people who are banned enter
I am a bouncer at a club and bar,I must not make sure that people are not going to cause a problem,I do not make sure that people are not going to cause a problem,I do not want to make sure that people are not going to cause a problem.
I am working as a secretary in an office.,So I should not answer the phone when it rings.,So I do not answer the phone when it rings.,So I do not recommend answering the phone when it rings.
I am working as a secretary in an office.,So I should not greet visitors when they walk in the door.,So I do not greet visitors when they walk in the door.,So I do not recommend greeting visitors when they walk in the door.
I am working as a construction worker on a building site.,So I ought not to wear a hard hat to work.,So I do not wear a hard hat to work.,So I do not recommend helping wear a hard hat to work.
I am working as a construction worker on a building site.,So I must not carry a hammer around work.,So I do not carry a hammer around work.,So I do not recommend carrying a hammer around work.
I am a communications director at the CDC.,I must not write press releases about new diseases.,I do not write press releases about new diseases.,I do not want to write press releases about new diseases.
I am a communications director at the CDC.,I should not help educate the President and Congress.,So I do not help educate the President and Congress.,So I do not recommend I  help educate the President and Congress.
I am running for class president. ,So I must not make buttons with my name on them to pass out to potential voters.,So I do not make buttons with my name on them to pass out to potential voters.,I do not consider making buttons with my name on them to pass out to potential voters.
I am running for class president. ,So I should not ask students for their vote.,So I do not ask students for their vote.,So I do not recommend asking students for their vote.
I am running for class president. ,So I ought not to talk to as many students as I can about my campaign.,So I do not talk to as many students as I can about my campaign.,So I do not recommend helping talk to as many students as I can about my campaign.
I serve ice cream at an ice cream parlor.,I must not provide napkins to customers who need them,So I do not provide napkins to customers who need them,So I do not recommend I  provide napkins to customers who need them
I serve ice cream at an ice cream parlor.,I must not serve ice cream in a cone or a bowl.,So I do not serve ice cream in a cone or a bowl.,So I do not recommend I  serve ice cream in a cone or a bowl.
I am babysitting my aunt's newborn for the night,So I should not burp after I feed her.,So I do not burp after I feed her.,So I do not recommend burping after I feed her.
I am babysitting my aunt's newborn for the night,So I should not warm the bottle before feeding the baby.,So I do not warm the bottle before feeding the baby.,So I do not recommend warming the bottle before feeding the baby.
Could you set the table for dinner tonight.,"But I must not work until 8:00, so won't be home in time.","But I do not work until 8:00, so won't be home in time.",I do not recommend workinging until 8:00.
I am working as a cook in a restaurant.,So I should not put burgers on the grill.,So I do not put burgers on the grill.,So I do not recommend puting burgers on the grill.
I am working as a cook in a restaurant.,So I should not clean the cutting board.,So I do not clean the cutting board.,So I do not recommend cleaning the cutting board.
I am a waitress at a bar and grill,So I must not bring the customer their food and drinks.,So I do not bring the customer their food and drinks.,So I do not recommend bringing the customer their food and drinks.
I am a waitress at a bar and grill,So I must not politely take the customer's orders.,So I do not politely take the customer's orders.,So I do not recommend politelying take the customer's orders.
I am a news reporter for a reputable news organization,I ought not to report on news that is pertinent to society.,So I do not to report on news that is pertinent to society.,So I do not recommend I  to report on news that is pertinent to society.
I am an interpreter for patients at a hospital.,I should not translate any questions that patients have for the medical staff.,So I do not translate any questions that patients have for the medical staff.,So I do not recommend I  translate any questions that patients have for the medical staff.
I am an interpreter for patients at a hospital.,I must not review common medical terminology in all the languages that I am qualified to interpret.,So I do not review common medical terminology in all the languages that I am qualified to interpret.,So I do not recommend I  review common medical terminology in all the languages that I am qualified to interpret.
I am working as a mail carrier in the city.,So I must not carry the bag full of mail.,So I do not carry the bag full of mail.,I do not consider carrying the bag full of mail.
I am working as a mail carrier in the city.,So I must not put the mail in the mail boxes.,So I do not put the mail in the mail boxes.,I do not recommend puttinging the mail in the mailboxes.
I am a private investigator for hire,So I must not follow a suspect to record information.,So I do not follow a suspect to record information.,I do not want to follow a suspect to record information.
I am a private investigator for hire,So I should not interview people to collect information on a case.,So I do not interview people to collect information on a case.,So I do not recommend interviewing people to collect information on a case.
I am a U.S. Senator in the United States senate.,I must not know how many countries there are in the entire world,I do not know how many countries there are in the entire world,I do not consider knowing how many countries there are in the entire world.
I am a U.S. Senator in the United States senate.,So I ought not to vote for things that support my state.,So I do not vote for things that support my state.,So I do not recommend helping vote for things that support my state.
I am the owner of a monogram company,So I must not know how to monogram tee shirts,So I do not know how to monogram tee shirts,So I do not recommend knowing how to monogram tee shirts
I am the owner of a monogram company,So I ought not to have a machine that can make monograms,So I do not have a machine that can make monograms,So I do not recommend helping have a machine that can make monograms
I am a security guard at the grocery store.,So I should not make sure the building is locked at night.,So I do not make sure the building is locked at night.,So I do not recommend makeing sure the building is locked at night.
I am playing pool at the local pool hall.,So I must not avoid interfering when other people are making a shot.,So I do not avoid interfering when other people are making a shot.,So I do not recommend avoiding interfering when other people are making a shot.
I am a patient in the psychiatric ward.,So I must not tell my doctor what is making me about have a nervous breakdown.,So I do not tell my doctor what is making me about have a nervous breakdown.,So I do not recommend telling my doctor what is making me about have a nervous breakdown.
I am a patient in the psychiatric ward.,So I ought not to take my medicine as my doctor prescribes.,So I do not take my medicine as my doctor prescribes.,So I do not recommend helping take my medicine as my doctor prescribes.
I am a doctor in the emergency department.,So I should not treat people with medical emergencies.,So I do not treat people with medical emergencies.,So I do not recommend treating people with medical emergencies.
I am a doctor in the emergency department.,So I must not treat my patients with a good bedside manner.,So I do not treat my patients with a good bedside manner.,I do not suggest treating my patients with a good bedside manner.
I am a maid in a local hotel on the beach.,So I should not vacuum the carpets.,So I do not vacuum the carpets.,So I do not recommend vacuuming the carpets.
I am a maid in a local hotel on the beach.,So I should not clean the toilets.,So I do not clean the toilets.,So I do not recommend cleaning the toilets.
I am a historian for the Smithsonian Museum.,I must not know which exhibits are on display at the Smithsonian.,So I do not know which exhibits are on display at the Smithsonian.,So I do not recommend I  know which exhibits are on display at the Smithsonian.
I am a historian for the Smithsonian Museum.,I should not know how to efficiently research historical records.,So I do not know how to efficiently research historical records.,So I do not recommend I  know how to efficiently research historical records.
I am in charge of restocking shelves at Walmart.,I should not notice when we're out of something.,So I do not notice when we're out of something.,So I do not recommend I  notice when we're out of something.
I am in charge of restocking shelves at Walmart.,I should not stack the products neatly.,So I do not stack the products neatly.,So I do not recommend I  stack the products neatly.
"I am a telemarketer, working for a large company.",So I ought not to make sure I use every opportunity to place my product in a positive light.,So I do not make sure I use every opportunity to place my product in a positive light.,So I do not recommend helping make sure I use every opportunity to place my product in a positive light.
"I am a telemarketer, working for a large company.",So I should not call people and act positively.,So I do not call people and act positively.,So I do not recommend calling people and act positively.
I am a paleontologist working for a museum,So I should not keep an eye out for any fossils while I am digging.,So I do not keep an eye out for any fossils while I am digging.,So I do not recommend keeping an eye out for any fossils while I am digging.
I am a paleontologist working for a museum,So I must not make sure to carefully preserve any specimens I find.,So I do not make sure to carefully preserve any specimens I find.,I do not suggest making sure to carefully preserve any specimens I find.
"I am A milk man, delivering for a local dairy.",So I must not see that bottles delivered aren't broken.,So I do not see that bottles delivered aren't broken.,I do not consider seeing that bottles delivered aren't broken.
"I am A milk man, delivering for a local dairy.","So I must not deliver milk promptly, early in the morning.","So I do not deliver milk promptly, early in the morning.","I do not encourage delivering milk promptly, early in the morning."
I am working as a waiter at the diner.,So I ought not to bring the food to the diners.,So I do not bring the food to the diners.,So I do not recommend helping bring the food to the diners.
I am working as a waiter at the diner.,So I must not take the orders.,So I do not take the orders.,I do not want to take the orders.
I am a pilot for an international airline,So I must not pay attention while I am operating the aircraft.,So I do not pay attention while I am operating the aircraft.,So I do not recommend paying attention while I am operating the aircraft.
I am a pilot for an international airline,So I should not fly the passengers safely to their destinations.,So I do not fly the passengers safely to their destinations.,So I do not recommend flying the passengers safely to their destinations.
I work as a TSA agent at the international airport.,I must not ensure that passengers don't have drugs on them.,I do not ensure that passengers don't have drugs on them.,I do not encourage ensuring that passengers don't have drugs on them.
I work as a TSA agent at the international airport.,I should not process passengers going through security.,So I do not process passengers going through security.,So I do not recommend I  process passengers going through security.
I am a standup comedian at a local bar,So I should not write funny material for my jokes.,So I do not write funny material for my jokes.,So I do not recommend writeing funny material for my jokes.
I am a standup comedian at a local bar,So I should not practice delivering my jokes.,So I do not practice delivering my jokes.,So I do not recommend practiceing delivering my jokes.
I am a professional pet groomer,So I must not trim the pet's nails.,So I do not trim the pet's nails.,So I do not recommend triming the pet's nails.
I am a professional pet groomer,So I must not give the pets a proper haircut.,So I do not give the pets a proper haircut.,So I do not recommend giveing the pets a proper haircut.
I am a Journeyman electrician in a local shop.,So I should not make sure electricity is off while wiring a house.,So I do not make sure electricity is off while wiring a house.,So I do not recommend makeing sure electricity is off while wiring a house.
I am a Journeyman electrician in a local shop.,So I should not make sure wire is securely fastened.,So I do not make sure wire is securely fastened.,So I do not recommend makeing sure wire is securely fastened.
I am a batter on a baseball team.,So I should not wear a hard helmet.,So I do not wear a hard helmet.,So I do not recommend wearing a hard helmet.
I am a batter on a baseball team.,So I ought not to practice my bat swing.,So I do not practice my bat swing.,So I do not recommend helping practice my bat swing.
I am a plumber for a plumbing company.,So I must not fix client's pipes.,So I do not fix client's pipes.,I do not encourage fixing client's pipes.
I am a plumber for a plumbing company.,So I ought not to unclog client's toilets and drains.,So I do not unclog client's toilets and drains.,So I do not recommend helping unclog client's toilets and drains.
I am a mother to three young children. ,I must not make my kids dinner at night.,So I do not make my kids dinner at night.,So I do not recommend I  make my kids dinner at night.
I am a mother to three young children. ,I must not pick my kids up from school.,I do not pick my kids up from school.,I do not suggest picking my kids up from school.
I am a hotel clerk working the evening shift.,So I must not provide toiletry items if the guests forgot to bring their own.,So I do not provide toiletry items if the guests forgot to bring their own.,I do not consider providing toiletry items if the guests forgot to bring their own.
I am a hotel clerk working the evening shift.,So I should not check-in guests who have reservations.,So I do not check-in guests who have reservations.,So I do not recommend checking-in guests who have reservations.
I'm a professional athlete aiming to go to the Olympics. ,I ought not to train at the gym every day.,So I do not to train at the gym every day.,So I do not recommend I  to train at the gym every day.
I'm a professional athlete aiming to go to the Olympics. ,I must not eat a high-energy diet to help with my training.,So I do not eat a high-energy diet to help with my training.,So I do not recommend I  eat a high-energy diet to help with my training.
I am a babysitter looking after two children.,I should not read them their favorite books.,So I do not read them their favorite books.,So I do not recommend I  read them their favorite books.
I am a babysitter looking after two children.,I ought not to make sure they go to bed on time.,So I do not to make sure they go to bed on time.,So I do not recommend I  to make sure they go to bed on time.
I am vending machine service technician and stock boy.,So I ought not to refill vending machines with the designated food and beverages they are suppose to contain.,So I do not refill vending machines with the designated food and beverages they are suppose to contain.,So I do not recommend helping refill vending machines with the designated food and beverages they are suppose to contain.
I am vending machine service technician and stock boy.,So I should not assess and fix vending machines that are not working properly.,So I do not assess and fix vending machines that are not working properly.,So I do not recommend assessing and fix vending machines that are not working properly.
I am a licensed real estate agent. ,I should not build business relationships with brokers.,So I do not build business relationships with brokers.,So I do not recommend I  build business relationships with brokers.
I am a licensed real estate agent. ,I should not make sure my clients get a good deal.,So I do not make sure my clients get a good deal.,So I do not recommend I  make sure my clients get a good deal.
I am a grocery store employee.,I must not assist customers if they need help finding an item.,So I do not assist customers if they need help finding an item.,So I do not recommend I  assist customers if they need help finding an item.
I am a grocery store employee.,I should not make sure that the shelves are stocked with the correct products.,So I do not make sure that the shelves are stocked with the correct products.,So I do not recommend I  make sure that the shelves are stocked with the correct products.
I am making hamburgers for my family.,So I must not find out who wants cheese on their hamburgers.,So I do not find out who wants cheese on their hamburgers.,I do not recommend findinging out who wants cheese on their hamburgers.
I am making hamburgers for my family.,So I must not cut up the toppings and put them on a plate for each person to choose.,So I do not cut up the toppings and put them on a plate for each person to choose.,So I do not recommend cuting up the toppings and put them on a plate for each person to choose.
I am making hamburgers for my family.,So I must not ask how rare or well done they want theirs cooked.,So I do not ask how rare or well done they want theirs cooked.,I do not suggest asking how rare or well done they want theirs cooked.
I am working as a delivery man.,So I must not leave packages with the residents.,So I do not leave packages with the residents.,So I do not recommend leaveing packages with the residents.
I am working as a delivery man.,So I ought not to drive the delivery truck.,So I do not drive the delivery truck.,So I do not recommend helping drive the delivery truck.
I am a seamstress in a small shop.,So I must not make sure to understand clearly what customers are asking for.,So I do not make sure to understand clearly what customers are asking for.,I do not recommend making sure to understand clearly what customers are asking for.
I am a seamstress in a small shop.,So I must not try to be sure things fit before finalizing alterations.,So I do not try to be sure things fit before finalizing alterations.,I do not want to try to be sure things fit before finalizing alterations.
I am in charge of collecting payments for the lot rent in the trailer park. ,So I ought not to give the office manager the lot rent payments when I receive them.,So I do not give the office manager the lot rent payments when I receive them.,So I do not recommend helping give the office manager the lot rent payments when I receive them.
I am in charge of collecting payments for the lot rent in the trailer park. ,So I must not remind tenants that their payments are due.,So I do not remind tenants that their payments are due.,So I do not recommend reminding tenants that their payments are due.
I am a paralegal assistant for a big defense law firm.,So I must not be taking notes for the head lawyer.,So I do not be taking notes for the head lawyer.,So I do not recommend being taking notes for the head lawyer.
I am a paralegal assistant for a big defense law firm.,So I ought not to be prepping important papers for the client.,So I do not be prepping important papers for the client.,So I do not recommend helping be prepping important papers for the client.
I am teaching children how to read.,So I must not buy a lot of books.,So I do not buy a lot of books.,I do not want to buy a lot of books.
I am teaching children how to read.,So I must not have patience.,So I have not patience.,I do not suggest having patience.
I am advocate for patients rights.,So I must not review customers bills if they feel cheated.,So I do not review customers bills if they feel cheated.,So I do not recommend reviewing customers bills if they feel cheated.
I am advocate for patients rights.,So I must not listen to complaints customers have about medical care.,So I do not listen to complaints customers have not about medical care.,I do not encourage listening to complaints customers have about medical care.
"I am a ventriloquist, working on a circuit.",So I should not not move my mouth while throwing my voice.,So I do not not move my mouth while throwing my voice.,So I do not recommend noting move my mouth while throwing my voice.
"I am a ventriloquist, working on a circuit.",So I should not talk clearly and ennunciate.,So I do not talk clearly and ennunciate.,So I do not recommend talking clearly and ennunciate.
I am a therapist for those who have depression.,So I must not try to help cure their depression.,So I do not try to help cure their depression.,I do not suggest trying to help cure their depression.
I am a tour guide for a touring company.,So I ought not to teach tourists about the city.,So I do not teach tourists about the city.,So I do not recommend helping teach tourists about the city.
I am a CEO of a large company.,So I should not make plans for the future of my company.,So I do not make plans for the future of my company.,So I do not recommend makeing plans for the future of my company.
I am a CEO of a large company.,So I ought not to attend meetings with the board of directors.,So I do not attend meetings with the board of directors.,So I do not recommend helping attend meetings with the board of directors.
I work as a Tae Kwon Do instructor at the local gym.,I should not be able to break a board by kicking it.,So I do not be able to break a board by kicking it.,So I do not recommend I  be able to break a board by kicking it.
I work as a Tae Kwon Do instructor at the local gym.,I must not be at least a black belt in the martial arts.,So I do not be at least a black belt in the martial arts.,So I do not recommend I  be at least a black belt in the martial arts.
I am a cashier in a Liquor store in a medium sized town.,So I must not make sure to card everyone buying alcohol.,So I do not make sure to card everyone buying alcohol.,I do not consider making sure to card everyone buying alcohol.
I am a cashier in a Liquor store in a medium sized town.,So I must not make sure customers get what they asked for.,So I do not make sure customers get what they asked for.,I do not encourage making sure customers get what they asked for.
I am a stock boy at the local grocery store.,So I should not rotate stock first in first out to ensure freshness.,So I do not rotate stock first in first out to ensure freshness.,So I do not recommend rotateing stock first in first out to ensure freshness.
I am a stock boy at the local grocery store.,So I should not keep boxes and pallets out of the way as I work.,So I do not keep boxes and pallets out of the way as I work.,So I do not recommend keeping boxes and pallets out of the way as I work.
I am scuba diver for an underwater tour company.,So I must not wear a wetsuit.,So I do not wear a wetsuit.,So I do not recommend wearing a wetsuit.
I am scuba diver for an underwater tour company.,So I ought not to check my oxygen levels.,So I do not check my oxygen levels.,So I do not recommend helping check my oxygen levels.
I am a police officer in a medium-sized town.,I must not tell people to turn the music down if there's a noise complaint.,So I do not tell people to turn the music down if there's a noise complaint.,So I do not recommend I  tell people to turn the music down if there's a noise complaint.
I am a police officer in a medium-sized town.,I should not arrest people if they're shoplifting.,So I do not arrest people if they're shoplifting.,So I do not recommend I  arrest people if they're shoplifting.
I am a police officer in a medium-sized town.,I should not give people tickets if they're speeding.,So I do not give people tickets if they're speeding.,So I do not recommend I  give people tickets if they're speeding.
I am a sanitation worker who removes garbage for a company.,So I should not drive the garbage or sanitation truck on my route.,So I do not drive the garbage or sanitation truck on my route.,So I do not recommend driveing the garbage or sanitation truck on my route.
I am a sanitation worker who removes garbage for a company.,So I should not clean debris I spill when I am working.,So I do not clean debris I spill when I am working.,So I do not recommend cleaning debris I spill when I am working.
I am an air conditioner repairman.,So I must not recharge systems that are low on coolant.,So I do not recharge systems that are low on coolant.,So I do not recommend rechargeing systems that are low on coolant.
I am an air conditioner repairman.,So I must not make safe repairs and install parts needed.,So I do not make safe repairs and install parts needed.,So I do not recommend makeing safe repairs and install parts needed.
I am a plumber who fixes people's problems.,So I ought not to install a plumbing system.,So I do not install a plumbing system.,So I do not recommend helping install a plumbing system.
I am a plumber who fixes people's problems.,So I ought not to check for any pipe leaks.,So I do not check for any pipe leaks.,So I do not recommend helping check for any pipe leaks.
I am an electric lineman for a large company.,So I must not be prepared to call in any potential problems to dispatch.,So I do not be prepared to call in any potential problems to dispatch.,I do not consider being prepared to call in any potential problems to dispatch.
I am an electric lineman for a large company.,"So I should not know how to repair safely, breaks in lines.","So I do not know how to repair safely, breaks in lines.","So I do not recommend knowing how to repair safely, breaks in lines."
I am a telemarketer at a call center,So I must not try to sell products to the customers.,So I do not try to sell products to the customers.,I do not recommend tryinging to sell products to the customers.
I am a telemarketer at a call center,So I must not speak with the customers in a polite and nice way.,So I do not speak with the customers in a polite and nice way.,I do not want to speak with the customers in a polite and nice way.
I am an actor starring in an action movie.,So I should not do my hair to make it look nice.,So I do not do my hair to make it look nice.,So I do not recommend doing my hair to make it look nice.
I am an actor starring in an action movie.,So I must not read and practice my script.,So I do not read and practice my script.,So I do not recommend reading and practice my script.
I am a fourth grade school teacher,So I ought not to know the names of all of the students in my class,So I do not know the names of all of the students in my class,So I do not recommend helping know the names of all of the students in my class
